username,repo_name,stars_count,repo_url
mastodon,mastodon,41000,https://github.com/mastodon/mastodon
elk-zone,elk,3200,https://github.com/elk-zone/elk
Dimillian,IceCubesApp,2700,https://github.com/Dimillian/IceCubesApp
TwidereProject,Twidere-Android,2700,https://github.com/TwidereProject/Twidere-Android
superseriousbusiness,gotosocial,2500,https://github.com/superseriousbusiness/gotosocial
tuskyapp,Tusky,2000,https://github.com/tuskyapp/Tusky
mastodon,documentation,1600,https://github.com/mastodon/documentation
mastodon,mastodon-ios,1600,https://github.com/mastodon/mastodon-ios
mastodon,mastodon-android,1300,https://github.com/mastodon/mastodon-android
nolanlawson,pinafore,1000,https://github.com/nolanlawson/pinafore
ihabunek,toot,937,https://github.com/ihabunek/toot
joyeusenoelle,GuideToMastodon,843,https://github.com/joyeusenoelle/GuideToMastodon
h3poteto,whalebird-desktop,817,https://github.com/h3poteto/whalebird-desktop
renatolond,mastodon-twitter-poster,797,https://github.com/renatolond/mastodon-twitter-poster
rustodon,rustodon,780,https://github.com/rustodon/rustodon
tleb,awesome-mastodon,761,https://github.com/tleb/awesome-mastodon
nathanlesage,academics-on-mastodon,748,https://github.com/nathanlesage/academics-on-mastodon
halcy,Mastodon.py,726,https://github.com/halcy/Mastodon.py
metabolist,metatext,721,https://github.com/metabolist/metatext
kha7iq,pingme,610,https://github.com/kha7iq/pingme
kennbroorg,iKy,573,https://github.com/kennbroorg/iKy
neet,masto.js,563,https://github.com/neet/masto.js
mattn,go-mastodon,548,https://github.com/mattn/go-mastodon
ethibox,awesome-stacks,547,https://github.com/ethibox/awesome-stacks
wabarc,wayback,529,https://github.com/wabarc/wayback
nextcloud,social,442,https://github.com/nextcloud/social
Aardwolf-Social,aardwolf,439,https://github.com/Aardwolf-Social/aardwolf
NicolasConstant,sengi,433,https://github.com/NicolasConstant/sengi
bleakgrey,tootle,407,https://github.com/bleakgrey/tootle
Wonderfall,dockerfiles,394,https://github.com/Wonderfall/dockerfiles
AndroidDev-social,DodoForMastodon,393,https://github.com/AndroidDev-social/DodoForMastodon
rhysd,Mstdn,391,https://github.com/rhysd/Mstdn
RasmusLindroth,tut,358,https://github.com/RasmusLindroth/tut
FedStoa,moa,349,https://github.com/FedStoa/moa
sk22,megalodon,325,https://github.com/sk22/megalodon
snarfed,granary,320,https://github.com/snarfed/granary
pfefferle,wordpress-activitypub,315,https://github.com/pfefferle/wordpress-activitypub
rjindael,ca-dmv-bot,292,https://github.com/rjindael/ca-dmv-bot
emilebosch,awesome-fediverse,287,https://github.com/emilebosch/awesome-fediverse
elk-zone,elk-native,282,https://github.com/elk-zone/elk-native
