username,repo_name,stars_count,repo_url
GoogleContainerTools,jib,12600,https://github.com/GoogleContainerTools/jib
bytedeco,javacv,6500,https://github.com/bytedeco/javacv
zhanglei-workspace,shopping-management-system,4500,https://github.com/zhanglei-workspace/shopping-management-system
rubenlagus,TelegramBots,3600,https://github.com/rubenlagus/TelegramBots
apache,maven,3600,https://github.com/apache/maven
diffplug,spotless,3400,https://github.com/diffplug/spotless
java-aodeng,hope-boot,3200,https://github.com/java-aodeng/hope-boot
Kotlin,kotlin-examples,3100,https://github.com/Kotlin/kotlin-examples
ZHENFENG13,My-Blog,3100,https://github.com/ZHENFENG13/My-Blog
spotify,dockerfile-maven,2700,https://github.com/spotify/dockerfile-maven
spotify,docker-maven-plugin,2600,https://github.com/spotify/docker-maven-plugin
jitpack,jitpack.io,2400,https://github.com/jitpack/jitpack.io
bytedeco,javacpp-presets,2300,https://github.com/bytedeco/javacpp-presets
apache,maven-mvnd,2300,https://github.com/apache/maven-mvnd
bonigarcia,webdrivermanager,2200,https://github.com/bonigarcia/webdrivermanager
vector4wang,spring-boot-quick,2200,https://github.com/vector4wang/spring-boot-quick
sanluan,PublicCMS,1900,https://github.com/sanluan/PublicCMS
ZHENFENG13,ssm-demo,1700,https://github.com/ZHENFENG13/ssm-demo
fabric8io,docker-maven-plugin,1700,https://github.com/fabric8io/docker-maven-plugin
henryyan,kft-activiti-demo,1600,https://github.com/henryyan/kft-activiti-demo
iBase4J,iBase4J,1600,https://github.com/iBase4J/iBase4J
git-commit-id,git-commit-id-maven-plugin,1500,https://github.com/git-commit-id/git-commit-id-maven-plugin
codenameone,CodenameOne,1500,https://github.com/codenameone/CodenameOne
aliyun,aliyun-openapi-java-sdk,1400,https://github.com/aliyun/aliyun-openapi-java-sdk
apereo,cas-overlay-template,1100,https://github.com/apereo/cas-overlay-template
scala-steward-org,scala-steward,1100,https://github.com/scala-steward-org/scala-steward
IanDarwin,Android-Cookbook-Examples,988,https://github.com/IanDarwin/Android-Cookbook-Examples
dzikoysk,reposilite,912,https://github.com/dzikoysk/reposilite
vanniktech,gradle-maven-publish-plugin,904,https://github.com/vanniktech/gradle-maven-publish-plugin
gardncl,elements-of-programming-interviews,871,https://github.com/gardncl/elements-of-programming-interviews
javafx-maven-plugin,javafx-maven-plugin,823,https://github.com/javafx-maven-plugin/javafx-maven-plugin
jreleaser,jreleaser,764,https://github.com/jreleaser/jreleaser
coderzcr,JavaWeb-Project-Source-Share,741,https://github.com/coderzcr/JavaWeb-Project-Source-Share
spockframework,spock-example,726,https://github.com/spockframework/spock-example
fvarrui,JavaPackager,717,https://github.com/fvarrui/JavaPackager
Byron4j,CookBook,692,https://github.com/Byron4j/CookBook
scana,ok-gradle,667,https://github.com/scana/ok-gradle
rieckpil,blog-tutorials,655,https://github.com/rieckpil/blog-tutorials
ZHENFENG13,perfect-ssm,640,https://github.com/ZHENFENG13/perfect-ssm
GoogTech,sms-ssm,577,https://github.com/GoogTech/sms-ssm
