username,repo_name,stars_count,repo_url
fogleman,Craft,9700,https://github.com/fogleman/Craft
dnschneid,crouton,8300,https://github.com/dnschneid/crouton
PaperMC,Paper,7300,https://github.com/PaperMC/Paper
IdreesInc,Monocraft,6400,https://github.com/IdreesInc/Monocraft
MinecraftForge,MinecraftForge,6100,https://github.com/MinecraftForge/MinecraftForge
nuno-faria,tiler,5600,https://github.com/nuno-faria/tiler
cabaletta,baritone,5500,https://github.com/cabaletta/baritone
huanghongxun,HMCL,5000,https://github.com/huanghongxun/HMCL
cuberite,cuberite,4500,https://github.com/cuberite/cuberite
PojavLauncherTeam,PojavLauncher,3900,https://github.com/PojavLauncherTeam/PojavLauncher
CaffeineMC,sodium-fabric,3900,https://github.com/CaffeineMC/sodium-fabric
MultiMC,Launcher,3900,https://github.com/MultiMC/Launcher
GeyserMC,Geyser,3800,https://github.com/GeyserMC/Geyser
PrismarineJS,mineflayer,3600,https://github.com/PrismarineJS/mineflayer
PrismLauncher,PrismLauncher,3200,https://github.com/PrismLauncher/PrismLauncher
pmmp,PocketMine-MP,3000,https://github.com/pmmp/PocketMine-MP
EngineHub,WorldEdit,2700,https://github.com/EngineHub/WorldEdit
IrisShaders,Iris,2600,https://github.com/IrisShaders/Iris
feather-rs,feather,2300,https://github.com/feather-rs/feather
Querz,mcaselector,2200,https://github.com/Querz/mcaselector
MCSManager,MCSManager,2100,https://github.com/MCSManager/MCSManager
toolbox4minecraft,amidst,2100,https://github.com/toolbox4minecraft/amidst
JannisX11,blockbench,1900,https://github.com/JannisX11/blockbench
Creators-of-Create,Create,1900,https://github.com/Creators-of-Create/Create
microsoft,pxt,1900,https://github.com/microsoft/pxt
Minestom,Minestom,1800,https://github.com/Minestom/Minestom
icexin,gocraft,1800,https://github.com/icexin/gocraft
GlowstoneMC,Glowstone,1800,https://github.com/GlowstoneMC/Glowstone
PolyMC,PolyMC,1700,https://github.com/PolyMC/PolyMC
PistonDevelopers,hematite,1700,https://github.com/PistonDevelopers/hematite
LuckPerms,LuckPerms,1700,https://github.com/LuckPerms/LuckPerms
Luohuayu,CatServer,1700,https://github.com/Luohuayu/CatServer
FabricMC,fabric,1700,https://github.com/FabricMC/fabric
CaffeineMC,lithium-fabric,1600,https://github.com/CaffeineMC/lithium-fabric
mouse0w0,MinecraftDeveloperGuide,1600,https://github.com/mouse0w0/MinecraftDeveloperGuide
EssentialsX,Essentials,1600,https://github.com/EssentialsX/Essentials
valence-rs,valence,1600,https://github.com/valence-rs/valence
PurpurMC,Purpur,1500,https://github.com/PurpurMC/Purpur
MightyPirates,OpenComputers,1400,https://github.com/MightyPirates/OpenComputers
PorkStudios,FarPlaneTwo,1400,https://github.com/PorkStudios/FarPlaneTwo
