username,repo_name,stars_count,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
facebook,react-native,109000,https://github.com/facebook/react-native
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
Solido,awesome-flutter,46100,https://github.com/Solido/awesome-flutter
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
nolimits4web,swiper,34700,https://github.com/nolimits4web/swiper
jondot,awesome-react-native,32700,https://github.com/jondot/awesome-react-native
youzan,vant,21100,https://github.com/youzan/vant
expo,expo,19800,https://github.com/expo/expo
alibaba,weex,18100,https://github.com/alibaba/weex
matomo-org,matomo,17500,https://github.com/matomo-org/matomo
AvaloniaUI,Avalonia,17400,https://github.com/AvaloniaUI/Avalonia
framework7io,framework7,17100,https://github.com/framework7io/framework7
ElemeFE,mint-ui,16600,https://github.com/ElemeFE/mint-ui
realm,realm-swift,15800,https://github.com/realm/realm-swift
Tencent,vConsole,15500,https://github.com/Tencent/vConsole
liriliri,eruda,13800,https://github.com/liriliri/eruda
aurelia,framework,11700,https://github.com/aurelia/framework
taye,interact.js,11400,https://github.com/taye/interact.js
realm,realm-java,11400,https://github.com/realm/realm-java
ant-design,ant-design-mobile,10900,https://github.com/ant-design/ant-design-mobile
vuestorefront,vue-storefront,10100,https://github.com/vuestorefront/vue-storefront
Tencent,wcdb,9600,https://github.com/Tencent/wcdb
AlloyTeam,Mars,9500,https://github.com/AlloyTeam/Mars
didi,chameleon,9000,https://github.com/didi/chameleon
mvt-project,mvt,8500,https://github.com/mvt-project/mvt
jonataslaw,getx,8400,https://github.com/jonataslaw/getx
alibaba,rax,7900,https://github.com/alibaba/rax
antvis,F2,7800,https://github.com/antvis/F2
Tencent,Hippy,7400,https://github.com/Tencent/Hippy
uber,RIBs,7300,https://github.com/uber/RIBs
ctf-wiki,ctf-wiki,6600,https://github.com/ctf-wiki/ctf-wiki
PaddlePaddle,Paddle-Lite,6500,https://github.com/PaddlePaddle/Paddle-Lite
sshahine,JFoenix,6100,https://github.com/sshahine/JFoenix
sensepost,objection,5900,https://github.com/sensepost/objection
blinksh,blink,5700,https://github.com/blinksh/blink
atinfo,awesome-test-automation,5600,https://github.com/atinfo/awesome-test-automation
microg,GmsCore,5500,https://github.com/microg/GmsCore
organicmaps,organicmaps,4900,https://github.com/organicmaps/organicmaps
apache,incubator-weex-ui,4800,https://github.com/apache/incubator-weex-ui
