username,repo_name,stars_count,repo_url
monero-project,monero,7700,https://github.com/monero-project/monero
xmrig,xmrig,7500,https://github.com/xmrig/xmrig
yjjnls,awesome-blockchain,2800,https://github.com/yjjnls/awesome-blockchain
cazala,coin-hive,1900,https://github.com/cazala/coin-hive
MultiPoolMiner,MultiPoolMiner,855,https://github.com/MultiPoolMiner/MultiPoolMiner
Cyclenerd,ethereum_nvidia_miner,834,https://github.com/Cyclenerd/ethereum_nvidia_miner
darkrenaissance,darkfi,821,https://github.com/darkrenaissance/darkfi
SChernykh,p2pool,702,https://github.com/SChernykh/p2pool
xmrig,xmrig-nvidia,653,https://github.com/xmrig/xmrig-nvidia
UnamSanctam,SilentCryptoMiner,640,https://github.com/UnamSanctam/SilentCryptoMiner
oliverw,miningcore,633,https://github.com/oliverw/miningcore
lucasjones,cpuminer-multi,607,https://github.com/lucasjones/cpuminer-multi
haveno-dex,haveno,599,https://github.com/haveno-dex/haveno
nanopool,nanominer,582,https://github.com/nanopool/nanominer
AleoHQ,wagyu,557,https://github.com/AleoHQ/wagyu
deepwn,deepMiner,535,https://github.com/deepwn/deepMiner
xmrig,xmrig-proxy,525,https://github.com/xmrig/xmrig-proxy
comit-network,xmr-btc-swap,510,https://github.com/comit-network/xmr-btc-swap
bradoyler,xmr-miner,494,https://github.com/bradoyler/xmr-miner
UnamSanctam,SilentXMRMiner,485,https://github.com/UnamSanctam/SilentXMRMiner
sammy007,monero-stratum,471,https://github.com/sammy007/monero-stratum
cazala,coin-hive-stratum,408,https://github.com/cazala/coin-hive-stratum
xmrig,xmrig-amd,387,https://github.com/xmrig/xmrig-amd
cake-tech,cake_wallet,350,https://github.com/cake-tech/cake_wallet
jtgrassie,monero-pool,312,https://github.com/jtgrassie/monero-pool
moneroexamples,onion-monero-blockchain-explorer,310,https://github.com/moneroexamples/onion-monero-blockchain-explorer
bitcartcc,bitcart,303,https://github.com/bitcartcc/bitcart
monerobook,monerobook,266,https://github.com/monerobook/monerobook
x25,coinhive-stratum-mining-proxy,260,https://github.com/x25/coinhive-stratum-mining-proxy
CoinSpace,CoinSpace,258,https://github.com/CoinSpace/CoinSpace
notgiven688,webminerpool,252,https://github.com/notgiven688/webminerpool
ognus,wallet-address-validator,251,https://github.com/ognus/wallet-address-validator
AthanorLabs,atomic-swap,244,https://github.com/AthanorLabs/atomic-swap
nemosminer,NemosMiner,224,https://github.com/nemosminer/NemosMiner
monero-ecosystem,monero-python,211,https://github.com/monero-ecosystem/monero-python
Mikerah,awesome-privacy-on-blockchains,208,https://github.com/Mikerah/awesome-privacy-on-blockchains
ebellocchia,bip_utils,208,https://github.com/ebellocchia/bip_utils
Ragnaroek,mithril,203,https://github.com/Ragnaroek/mithril
PiTi2k5,Crypto-Webminer,172,https://github.com/PiTi2k5/Crypto-Webminer
xmrMiner,xmrMiner,171,https://github.com/xmrMiner/xmrMiner
