username,repo_name,stars_count,repo_url
bailicangdu,node-elm,11900,https://github.com/bailicangdu/node-elm
hagopj13,node-express-boilerplate,5300,https://github.com/hagopj13/node-express-boilerplate
santiq,bulletproof-nodejs,5100,https://github.com/santiq/bulletproof-nodejs
madhums,node-express-mongoose-demo,5100,https://github.com/madhums/node-express-mongoose-demo
async-labs,builderbook,3500,https://github.com/async-labs/builderbook
async-labs,saas,3400,https://github.com/async-labs/saas
kunalkapadia,express-mongoose-es6-rest-api,2900,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
konstantinmuenster,notion-clone,2600,https://github.com/konstantinmuenster/notion-clone
developit,express-es6-rest-api,2400,https://github.com/developit/express-es6-rest-api
emadehsan,thal,2400,https://github.com/emadehsan/thal
ladjs,lad,2200,https://github.com/ladjs/lad
janishar,nodejs-backend-architecture-typescript,2200,https://github.com/janishar/nodejs-backend-architecture-typescript
nodkz,mongodb-memory-server,2200,https://github.com/nodkz/mongodb-memory-server
danielfsousa,express-rest-boilerplate,2100,https://github.com/danielfsousa/express-rest-boilerplate
ljlm0402,typescript-express-starter,2000,https://github.com/ljlm0402/typescript-express-starter
typegoose,typegoose,2000,https://github.com/typegoose/typegoose
Nealyang,React-Express-Blog-Demo,1900,https://github.com/Nealyang/React-Express-Blog-Demo
diegohaz,rest,1700,https://github.com/diegohaz/rest
basir,node-react-ecommerce,1500,https://github.com/basir/node-react-ecommerce
OmarElgabry,chat.io,1400,https://github.com/OmarElgabry/chat.io
DavideViolante,Angular-Full-Stack,1400,https://github.com/DavideViolante/Angular-Full-Stack
panshak,accountill,1400,https://github.com/panshak/accountill
madhums,node-express-mongoose,1400,https://github.com/madhums/node-express-mongoose
open-source-labs,PreVue,1300,https://github.com/open-source-labs/PreVue
azat-co,cheatsheets,1300,https://github.com/azat-co/cheatsheets
szokodiakos,typegoose,1200,https://github.com/szokodiakos/typegoose
surmon-china,nodepress,1200,https://github.com/surmon-china/nodepress
mengsixing,cdfang-spider,1200,https://github.com/mengsixing/cdfang-spider
JKHeadley,rest-hapi,1200,https://github.com/JKHeadley/rest-hapi
mongoosastic,mongoosastic,1100,https://github.com/mongoosastic/mongoosastic
wmui,essay,936,https://github.com/wmui/essay
mohamedsamara,mern-ecommerce,878,https://github.com/mohamedsamara/mern-ecommerce
davellanedam,node-express-mongodb-jwt-rest-api-skeleton,828,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton
madlabsinc,mevn-cli,795,https://github.com/madlabsinc/mevn-cli
DrTimothyAldenDavis,SuiteSparse,785,https://github.com/DrTimothyAldenDavis/SuiteSparse
doug-martin,nestjs-query,737,https://github.com/doug-martin/nestjs-query
graphql-compose,graphql-compose-mongoose,695,https://github.com/graphql-compose/graphql-compose-mongoose
FrontendMasters,api-design-node-v3,682,https://github.com/FrontendMasters/api-design-node-v3
Denrox,nestjs-microservices-example,640,https://github.com/Denrox/nestjs-microservices-example
Ma63d,kov-blog,639,https://github.com/Ma63d/kov-blog
