username,repo_name,stars_count,repo_url
netdata,netdata,62500,https://github.com/netdata/netdata
grafana,grafana,54700,https://github.com/grafana/grafana
prometheus,prometheus,47400,https://github.com/prometheus/prometheus
Unitech,pm2,38800,https://github.com/Unitech/pm2
huginn,huginn,38000,https://github.com/huginn/huginn
getsentry,sentry,33800,https://github.com/getsentry/sentry
louislam,uptime-kuma,31600,https://github.com/louislam/uptime-kuma
influxdata,influxdb,25200,https://github.com/influxdata/influxdb
nicolargo,glances,22500,https://github.com/nicolargo/glances
taosdata,TDengine,21100,https://github.com/taosdata/TDengine
osquery,osquery,20200,https://github.com/osquery/osquery
didi,DoKit,19400,https://github.com/didi/DoKit
dianping,cat,17600,https://github.com/dianping/cat
allinurl,goaccess,16000,https://github.com/allinurl/goaccess
cilium,cilium,14800,https://github.com/cilium/cilium
bcicen,ctop,14100,https://github.com/bcicen/ctop
bettercap,bettercap,13800,https://github.com/bettercap/bettercap
influxdata,telegraf,12700,https://github.com/influxdata/telegraf
pinpoint-apm,pinpoint,12700,https://github.com/pinpoint-apm/pinpoint
SigNoz,signoz,12300,https://github.com/SigNoz/signoz
thanos-io,thanos,11600,https://github.com/thanos-io/thanos
sqshq,sampler,11400,https://github.com/sqshq/sampler
tariqbuilds,linux-dash,10100,https://github.com/tariqbuilds/linux-dash
dastergon,awesome-sre,9900,https://github.com/dastergon/awesome-sre
aksakalli,gtop,9400,https://github.com/aksakalli/gtop
giampaolo,psutil,9200,https://github.com/giampaolo/psutil
winsiderss,systeminformer,8700,https://github.com/winsiderss/systeminformer
dgtlmoon,changedetection.io,8600,https://github.com/dgtlmoon/changedetection.io
gao-sun,eul,8400,https://github.com/gao-sun/eul
oguzhaninan,Stacer,8300,https://github.com/oguzhaninan/Stacer
upgundecha,howtheysre,8300,https://github.com/upgundecha/howtheysre
VictoriaMetrics,VictoriaMetrics,8200,https://github.com/VictoriaMetrics/VictoriaMetrics
fail2ban,fail2ban,8100,https://github.com/fail2ban/fail2ban
prometheus-operator,prometheus-operator,7900,https://github.com/prometheus-operator/prometheus-operator
grafana,pyroscope,7500,https://github.com/grafana/pyroscope
open-falcon,falcon-plus,7000,https://github.com/open-falcon/falcon-plus
statping,statping,6600,https://github.com/statping/statping
ClementTsang,bottom,6500,https://github.com/ClementTsang/bottom
lebinh,ngxtop,6400,https://github.com/lebinh/ngxtop
SigmaHQ,sigma,6300,https://github.com/SigmaHQ/sigma
