username,repo_name,stars_count,repo_url
MvvmCross,MvvmCross,3800,https://github.com/MvvmCross/MvvmCross
MvvmCross,MvvmCross-Samples,329,https://github.com/MvvmCross/MvvmCross-Samples
MvvmCross,NPlus1DaysOfMvvmCross,150,https://github.com/MvvmCross/NPlus1DaysOfMvvmCross
Baseflow,Chameleon,147,https://github.com/Baseflow/Chameleon
Plac3hold3r,MvxScaffolding,123,https://github.com/Plac3hold3r/MvxScaffolding
Cheesebaron,Cheesebaron.MvxPlugins,89,https://github.com/Cheesebaron/Cheesebaron.MvxPlugins
Nethereum,Nethereum.UI.Wallet.Sample,75,https://github.com/Nethereum/Nethereum.UI.Wallet.Sample
Baseflow,MvxForms,46,https://github.com/Baseflow/MvxForms
DominicMaas,SoundByteOSS,44,https://github.com/DominicMaas/SoundByteOSS
rogerwcpt,xamarin-mvvvm-frameworks,44,https://github.com/rogerwcpt/xamarin-mvvvm-frameworks
grendio,XBottomSheet,35,https://github.com/grendio/XBottomSheet
mgj,MvvmCross-Dreams,31,https://github.com/mgj/MvvmCross-Dreams
JTOne123,XamFormsMvxTemplate,27,https://github.com/JTOne123/XamFormsMvxTemplate
softlion,XamSvg-Samples,25,https://github.com/softlion/XamSvg-Samples
zleao,MvvmCross-Extensions,21,https://github.com/zleao/MvvmCross-Extensions
nmilcoff,TagsView,20,https://github.com/nmilcoff/TagsView
AppRopio,AppRopio.Mobile,18,https://github.com/AppRopio/AppRopio.Mobile
jimbobbennett,MvvmCross-VisualStudioAddIn,14,https://github.com/jimbobbennett/MvvmCross-VisualStudioAddIn
entdark,JKChat,13,https://github.com/entdark/JKChat
TorisanKitsune,MinoriEditorShell,13,https://github.com/TorisanKitsune/MinoriEditorShell
wcoder,MvvmCrossStarterKit,12,https://github.com/wcoder/MvvmCrossStarterKit
Danielbahe,Xamarin.Popups,10,https://github.com/Danielbahe/Xamarin.Popups
MeshackMusundi,StaffStuff-MvvmCross,10,https://github.com/MeshackMusundi/StaffStuff-MvvmCross
jsuarezruiz,mvxforms-samples,9,https://github.com/jsuarezruiz/mvxforms-samples
isax5,Hymnal-Xamarin,9,https://github.com/isax5/Hymnal-Xamarin
heytherewill,MvvmCross.FSharp,8,https://github.com/heytherewill/MvvmCross.FSharp
eiadxp,MvvmCross.Platforms.Wpf.ItemsViewPresenter,7,https://github.com/eiadxp/MvvmCross.Platforms.Wpf.ItemsViewPresenter
Plac3hold3r,PH.SharedElement,7,https://github.com/Plac3hold3r/PH.SharedElement
sbytedev,demo-xamarin-mvvmcross-popups,5,https://github.com/sbytedev/demo-xamarin-mvvmcross-popups
daniel-p,XamarinWorkshop-GetReal,5,https://github.com/daniel-p/XamarinWorkshop-GetReal
rogerwcpt,weissdigital.xamarin.addins.mvxcontentpage,5,https://github.com/rogerwcpt/weissdigital.xamarin.addins.mvxcontentpage
roygarbriceno,ARDemo,5,https://github.com/roygarbriceno/ARDemo
canbilgin,mvvmcross-samples,4,https://github.com/canbilgin/mvvmcross-samples
Strifex,MvvmCross_Sample,4,https://github.com/Strifex/MvvmCross_Sample
g0rdan,g0rdan.MvxPlugin.AlertDialog,4,https://github.com/g0rdan/g0rdan.MvxPlugin.AlertDialog
orestesgaolin,bottomnavview-xamarin-example,4,https://github.com/orestesgaolin/bottomnavview-xamarin-example
mikeacosta,mvx-custom-binding,4,https://github.com/mikeacosta/mvx-custom-binding
NAXAM,busuu-clone-xamarin-app,4,https://github.com/NAXAM/busuu-clone-xamarin-app
Danielbahe,Fluxamarin,3,https://github.com/Danielbahe/Fluxamarin
dawcza3,MvvmCross-Qr-Code-Scanner,3,https://github.com/dawcza3/MvvmCross-Qr-Code-Scanner
