username,repo_name,stars_count,repo_url
Snailclimb,JavaGuide,132000,https://github.com/Snailclimb/JavaGuide
macrozheng,mall,64500,https://github.com/macrozheng/mall
grafana,grafana,54700,https://github.com/grafana/grafana
strapi,strapi,52800,https://github.com/strapi/strapi
nocodb,nocodb,35200,https://github.com/nocodb/nocodb
0voice,interview_internal_reference,34700,https://github.com/0voice/interview_internal_reference
pingcap,tidb,33700,https://github.com/pingcap/tidb
AobingJava,JavaFamily,33400,https://github.com/AobingJava/JavaFamily
metabase,metabase,31900,https://github.com/metabase/metabase
dbeaver,dbeaver,31300,https://github.com/dbeaver/dbeaver
typeorm,typeorm,30900,https://github.com/typeorm/typeorm
prisma,prisma,30200,https://github.com/prisma/prisma
hasura,graphql-engine,29500,https://github.com/hasura/graphql-engine
sequelize,sequelize,27700,https://github.com/sequelize/sequelize
hollischuang,toBeTopJavaer,24500,https://github.com/hollischuang/toBeTopJavaer
getredash,redash,22900,https://github.com/getredash/redash
directus,directus,20800,https://github.com/directus/directus
apache,shardingsphere,18200,https://github.com/apache/shardingsphere
mysqljs,mysql,17700,https://github.com/mysqljs/mysql
matomo-org,matomo,17500,https://github.com/matomo-org/matomo
knex,knex,17400,https://github.com/knex/knex
vitessio,vitess,15800,https://github.com/vitessio/vitess
mindsdb,mindsdb,15000,https://github.com/mindsdb/mindsdb
cube-js,cube,14800,https://github.com/cube-js/cube
dolthub,dolt,14500,https://github.com/dolthub/dolt
baomidou,mybatis-plus,14300,https://github.com/baomidou/mybatis-plus
zhisheng17,flink-learning,13300,https://github.com/zhisheng17/flink-learning
go-sql-driver,mysql,13200,https://github.com/go-sql-driver/mysql
beekeeper-studio,beekeeper-studio,12700,https://github.com/beekeeper-studio/beekeeper-studio
macrozheng,mall-learning,11900,https://github.com/macrozheng/mall-learning
YunaiV,ruoyi-vue-pro,11600,https://github.com/YunaiV/ruoyi-vue-pro
golang-migrate,migrate,11100,https://github.com/golang-migrate/migrate
github,gh-ost,10900,https://github.com/github/gh-ost
dbcli,mycli,10800,https://github.com/dbcli/mycli
sogou,workflow,10400,https://github.com/sogou/workflow
diesel-rs,diesel,10200,https://github.com/diesel-rs/diesel
macrozheng,mall-swarm,10000,https://github.com/macrozheng/mall-swarm
fuzhengwei,CodeGuide,9400,https://github.com/fuzhengwei/CodeGuide
doctrine,dbal,9000,https://github.com/doctrine/dbal
YunaiV,yudao-cloud,8900,https://github.com/YunaiV/yudao-cloud
