username,repo_name,stars_count,repo_url
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
nativescript-vue,nativescript-vue,5100,https://github.com/nativescript-vue/nativescript-vue
alibaba,LuaViewSDK,3700,https://github.com/alibaba/LuaViewSDK
ngx-formly,ngx-formly,2500,https://github.com/ngx-formly/ngx-formly
NathanWalker,angular-seed-advanced,2300,https://github.com/NathanWalker/angular-seed-advanced
momotech,MLN,1600,https://github.com/momotech/MLN
NativeScript,nativescript-angular,1200,https://github.com/NativeScript/nativescript-angular
NativeScript,nativescript-cli,1000,https://github.com/NativeScript/nativescript-cli
EddyVerbruggen,nativescript-plugin-firebase,1000,https://github.com/EddyVerbruggen/nativescript-plugin-firebase
NativeScript,android,477,https://github.com/NativeScript/android
NativeScript,docs-v7,448,https://github.com/NativeScript/docs-v7
nstudio,xplat,349,https://github.com/nstudio/xplat
OpenNative,open-native,349,https://github.com/OpenNative/open-native
ShadowApex,godot-go,340,https://github.com/ShadowApex/godot-go
tralves,groceries-ns-vue,300,https://github.com/tralves/groceries-ns-vue
NativeScript,ios-jsc,294,https://github.com/NativeScript/ios-jsc
EddyVerbruggen,nativescript-barcodescanner,290,https://github.com/EddyVerbruggen/nativescript-barcodescanner
nstudio,nativescript-cardview,282,https://github.com/nstudio/nativescript-cardview
shirakaba,react-nativescript,268,https://github.com/shirakaba/react-nativescript
TeamMaestro,angular-native-seed,267,https://github.com/TeamMaestro/angular-native-seed
anihalaney,rwa-trivia,254,https://github.com/anihalaney/rwa-trivia
dapriett,nativescript-google-maps-sdk,243,https://github.com/dapriett/nativescript-google-maps-sdk
nativescript-community,ui-material-components,206,https://github.com/nativescript-community/ui-material-components
NativeScript,nativescript-app-templates,204,https://github.com/NativeScript/nativescript-app-templates
Yermo,nativescript-mapbox,193,https://github.com/Yermo/nativescript-mapbox
NativeScript,nativescript-schematics,188,https://github.com/NativeScript/nativescript-schematics
EddyVerbruggen,nativescript-pluginshowcase,176,https://github.com/EddyVerbruggen/nativescript-pluginshowcase
nativescript-community,ble,174,https://github.com/nativescript-community/ble
nativescript-community,ui-lottie,173,https://github.com/nativescript-community/ui-lottie
mean-expert-official,fireloop.io,173,https://github.com/mean-expert-official/fireloop.io
EddyVerbruggen,nativescript-local-notifications,162,https://github.com/EddyVerbruggen/nativescript-local-notifications
manijak,nativescript-carousel,159,https://github.com/manijak/nativescript-carousel
NativeScript,plugins,154,https://github.com/NativeScript/plugins
nstudio,nativescript-pulltorefresh,143,https://github.com/nstudio/nativescript-pulltorefresh
Gonzalo2310,awesome-nativescript-vue,143,https://github.com/Gonzalo2310/awesome-nativescript-vue
NativeScript,nativescript-geolocation,138,https://github.com/NativeScript/nativescript-geolocation
nstudio,nativescript-floatingactionbutton,137,https://github.com/nstudio/nativescript-floatingactionbutton
EddyVerbruggen,nativescript-fingerprint-auth,132,https://github.com/EddyVerbruggen/nativescript-fingerprint-auth
nstudio,nativescript-videoplayer,130,https://github.com/nstudio/nativescript-videoplayer
EddyVerbruggen,nativescript-feedback,128,https://github.com/EddyVerbruggen/nativescript-feedback
