username,repo_name,stars_count,repo_url
huggingface,transformers,89300,https://github.com/huggingface/transformers
apachecn,ailearning,35000,https://github.com/apachecn/ailearning
google-research,bert,33700,https://github.com/google-research/bert
hankcs,HanLP,28500,https://github.com/hankcs/HanLP
explosion,spaCy,25700,https://github.com/explosion/spaCy
RasaHQ,rasa,15900,https://github.com/RasaHQ/rasa
huggingface,datasets,15700,https://github.com/huggingface/datasets
oxford-cs-deepnlp-2017,lectures,15500,https://github.com/oxford-cs-deepnlp-2017/lectures
keon,awesome-nlp,14500,https://github.com/keon/awesome-nlp
RaRe-Technologies,gensim,14100,https://github.com/RaRe-Technologies/gensim
bharathgs,Awesome-pytorch-list,13900,https://github.com/bharathgs/Awesome-pytorch-list
NLP-LOVE,ML-NLP,13500,https://github.com/NLP-LOVE/ML-NLP
virgili0,Virgilio,13400,https://github.com/virgili0/Virgilio
ml-tooling,best-of-ml-python,13200,https://github.com/ml-tooling/best-of-ml-python
flairNLP,flair,12600,https://github.com/flairNLP/flair
graykode,nlp-tutorial,12300,https://github.com/graykode/nlp-tutorial
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,12100,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
nltk,nltk,11700,https://github.com/nltk/nltk
microsoft,unilm,11500,https://github.com/microsoft/unilm
allenai,allennlp,11400,https://github.com/allenai/allennlp
PaddlePaddle,PaddleHub,11400,https://github.com/PaddlePaddle/PaddleHub
spencermountain,compromise,10600,https://github.com/spencermountain/compromise
NVIDIA,DeepLearningExamples,10600,https://github.com/NVIDIA/DeepLearningExamples
chiphuyen,stanford-tensorflow-tutorials,10200,https://github.com/chiphuyen/stanford-tensorflow-tutorials
botpress,botpress,10200,https://github.com/botpress/botpress
dair-ai,ML-YouTube-Courses,10100,https://github.com/dair-ai/ML-YouTube-Courses
stanfordnlp,CoreNLP,8900,https://github.com/stanfordnlp/CoreNLP
sloria,TextBlob,8500,https://github.com/sloria/TextBlob
PaddlePaddle,PaddleNLP,8400,https://github.com/PaddlePaddle/PaddleNLP
ymcui,Chinese-BERT-wwm,8000,https://github.com/ymcui/Chinese-BERT-wwm
brightmart,nlp_chinese_corpus,7900,https://github.com/brightmart/nlp_chinese_corpus
deepset-ai,haystack,7700,https://github.com/deepset-ai/haystack
brightmart,text_classification,7500,https://github.com/brightmart/text_classification
jadore801120,attention-is-all-you-need-pytorch,7300,https://github.com/jadore801120/attention-is-all-you-need-pytorch
crownpku,Awesome-Chinese-NLP,7200,https://github.com/crownpku/Awesome-Chinese-NLP
PaddlePaddle,models,6800,https://github.com/PaddlePaddle/models
huggingface,tokenizers,6700,https://github.com/huggingface/tokenizers
Morizeyao,GPT2-Chinese,6600,https://github.com/Morizeyao/GPT2-Chinese
stanfordnlp,stanza,6600,https://github.com/stanfordnlp/stanza
thunlp,WantWords,6400,https://github.com/thunlp/WantWords
