username,repo_name,stars_count,repo_url
nim-lang,Nim,14800,https://github.com/nim-lang/Nim
zedeus,nitter,7000,https://github.com/zedeus/nitter
kaitai-io,kaitai_struct,3400,https://github.com/kaitai-io/kaitai_struct
Dav1dde,glad,3000,https://github.com/Dav1dde/glad
dom96,jester,1400,https://github.com/dom96/jester
nim-lang,nimble,1100,https://github.com/nim-lang/nimble
mratsim,Arraymancer,1100,https://github.com/mratsim/Arraymancer
planety,prologue,1100,https://github.com/planety/prologue
yglukhov,nimx,972,https://github.com/yglukhov/nimx
aduros,wasm4,825,https://github.com/aduros/wasm4
Pebaz,nimporter,746,https://github.com/Pebaz/nimporter
nim-lang,nimforum,730,https://github.com/nim-lang/nimforum
ringabout,awesome-nim,727,https://github.com/ringabout/awesome-nim
codic12,worm,655,https://github.com/codic12/worm
VPashkov,awesome-nim,647,https://github.com/VPashkov/awesome-nim
simonkrauter,NiGui,626,https://github.com/simonkrauter/NiGui
arnetheduck,nlvm,605,https://github.com/arnetheduck/nlvm
dom96,choosenim,589,https://github.com/dom96/choosenim
inim-repl,INim,588,https://github.com/inim-repl/INim
dom96,nimkernel,588,https://github.com/dom96/nimkernel
brentp,mosdepth,549,https://github.com/brentp/mosdepth
frol,completely-unscientific-benchmarks,523,https://github.com/frol/completely-unscientific-benchmarks
ftsf,nico,519,https://github.com/ftsf/nico
status-im,nimbus-eth1,518,https://github.com/status-im/nimbus-eth1
aeverj,NimShellCodeLoader,513,https://github.com/aeverj/NimShellCodeLoader
fox0430,moe,506,https://github.com/fox0430/moe
py2many,py2many,505,https://github.com/py2many/py2many
pragmagic,godot-nim,462,https://github.com/pragmagic/godot-nim
sinkingsugar,nimtorch,450,https://github.com/sinkingsugar/nimtorch
adeemm,WinAPI-Fun,445,https://github.com/adeemm/WinAPI-Fun
status-im,nimbus-eth2,403,https://github.com/status-im/nimbus-eth2
nim-lang,packages,392,https://github.com/nim-lang/packages
hanabi1224,Programming-Language-Benchmarks,387,https://github.com/hanabi1224/Programming-Language-Benchmarks
dom96,Aporia,382,https://github.com/dom96/Aporia
calebwin,pipelines,372,https://github.com/calebwin/pipelines
dom96,httpbeast,361,https://github.com/dom96/httpbeast
nimgl,nimgl,346,https://github.com/nimgl/nimgl
moigagoo,norm,334,https://github.com/moigagoo/norm
nimterop,nimterop,333,https://github.com/nimterop/nimterop
bluenote10,NimData,329,https://github.com/bluenote10/NimData
