username,repo_name,stars_count,repo_url
freeCodeCamp,freeCodeCamp,364000,https://github.com/freeCodeCamp/freeCodeCamp
30-seconds,30-seconds-of-code,109000,https://github.com/30-seconds/30-seconds-of-code
electron,electron,107000,https://github.com/electron/electron
axios,axios,99500,https://github.com/axios/axios
nodejs,node,94300,https://github.com/nodejs/node
goldbergyoni,nodebestpractices,87700,https://github.com/goldbergyoni/nodebestpractices
nvm-sh,nvm,65900,https://github.com/nvm-sh/nvm
expressjs,express,60400,https://github.com/expressjs/express
socketio,socket.io,57900,https://github.com/socketio/socket.io
leonardomso,33-js-concepts,55600,https://github.com/leonardomso/33-js-concepts
nestjs,nest,55600,https://github.com/nestjs/nest
strapi,strapi,52800,https://github.com/strapi/strapi
sindresorhus,awesome-nodejs,50400,https://github.com/sindresorhus/awesome-nodejs
meteor,meteor,43400,https://github.com/meteor/meteor
TryGhost,Ghost,42800,https://github.com/TryGhost/Ghost
oven-sh,bun,40300,https://github.com/oven-sh/bun
nwjs,nw.js,39600,https://github.com/nwjs/nw.js
Unitech,pm2,38800,https://github.com/Unitech/pm2
google,zx,36900,https://github.com/google/zx
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
FreeCodeCampChina,freecodecamp.cn,36500,https://github.com/FreeCodeCampChina/freecodecamp.cn
hexojs,hexo,36500,https://github.com/hexojs/hexo
laurent22,joplin,35200,https://github.com/laurent22/joplin
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
sahat,hackathon-starter,34100,https://github.com/sahat/hackathon-starter
nativefier,nativefier,33300,https://github.com/nativefier/nativefier
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
date-fns,date-fns,31200,https://github.com/date-fns/date-fns
prisma,prisma,30200,https://github.com/prisma/prisma
standard,standard,28000,https://github.com/standard/standard
webtorrent,webtorrent,27700,https://github.com/webtorrent/webtorrent
sequelize,sequelize,27700,https://github.com/sequelize/sequelize
Binaryify,NeteaseCloudMusicApi,27500,https://github.com/Binaryify/NeteaseCloudMusicApi
coreybutler,nvm-windows,27000,https://github.com/coreybutler/nvm-windows
fastify,fastify,26900,https://github.com/fastify/fastify
gofiber,fiber,25500,https://github.com/gofiber/fiber
lovell,sharp,24900,https://github.com/lovell/sharp
haizlin,fe-interview,23300,https://github.com/haizlin/fe-interview
vercel,pkg,23000,https://github.com/vercel/pkg
