username,repo_name,stars_count,repo_url
vsouza,awesome-ios,42400,https://github.com/vsouza/awesome-ios
serhii-londar,open-source-mac-os-apps,34800,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,34200,https://github.com/dkhamsing/open-source-ios-apps
SDWebImage,SDWebImage,24500,https://github.com/SDWebImage/SDWebImage
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
hackiftekhar,IQKeyboardManager,16000,https://github.com/hackiftekhar/IQKeyboardManager
realm,realm-swift,15800,https://github.com/realm/realm-swift
OpenEmu,OpenEmu,14800,https://github.com/OpenEmu/OpenEmu
CocoaPods,CocoaPods,14000,https://github.com/CocoaPods/CocoaPods
facebook,infer,13900,https://github.com/facebook/infer
CoderMJLee,MJRefresh,13700,https://github.com/CoderMJLee/MJRefresh
kyleneideck,BackgroundMusic,13300,https://github.com/kyleneideck/BackgroundMusic
CocoaLumberjack,CocoaLumberjack,12900,https://github.com/CocoaLumberjack/CocoaLumberjack
Instagram,IGListKit,12600,https://github.com/Instagram/IGListKit
SVProgressHUD,SVProgressHUD,12400,https://github.com/SVProgressHUD/SVProgressHUD
halfrost,Halfrost-Field,12000,https://github.com/halfrost/Halfrost-Field
Mantle,Mantle,11300,https://github.com/Mantle/Mantle
Tim9Liu9,TimLiu-iOS,11200,https://github.com/Tim9Liu9/TimLiu-iOS
futurice,ios-good-practices,10700,https://github.com/futurice/ios-good-practices
WenchaoD,FSCalendar,10300,https://github.com/WenchaoD/FSCalendar
Hammerspoon,hammerspoon,10200,https://github.com/Hammerspoon/hammerspoon
quicktype,quicktype,9700,https://github.com/quicktype/quicktype
Quick,Quick,9600,https://github.com/Quick/Quick
MacDownApp,macdown,9200,https://github.com/MacDownApp/macdown
sequelpro,sequelpro,8900,https://github.com/sequelpro/sequelpro
assimp,assimp,8800,https://github.com/assimp/assimp
CoderMJLee,MJExtension,8500,https://github.com/CoderMJLee/MJExtension
steipete,Aspects,8300,https://github.com/steipete/Aspects
draveness,analyze,8000,https://github.com/draveness/analyze
sveinbjornt,Sloth,7700,https://github.com/sveinbjornt/Sloth
olucurious,Awesome-ARKit,7600,https://github.com/olucurious/Awesome-ARKit
jverdi,JVFloatLabeledTextField,7200,https://github.com/jverdi/JVFloatLabeledTextField
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
tonymillion,Reachability,7000,https://github.com/tonymillion/Reachability
xmake-io,xmake,6800,https://github.com/xmake-io/xmake
ChenYilong,CYLTabBarController,6800,https://github.com/ChenYilong/CYLTabBarController
WenchaoD,FSPagerView,6700,https://github.com/WenchaoD/FSPagerView
MacPass,MacPass,6500,https://github.com/MacPass/MacPass
jverkoey,nimbus,6500,https://github.com/jverkoey/nimbus
nisrulz,flutter-examples,6400,https://github.com/nisrulz/flutter-examples
