username,repo_name,stars_count,repo_url
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
kovidgoyal,kitty,18200,https://github.com/kovidgoyal/kitty
ssloy,tinyrenderer,16500,https://github.com/ssloy/tinyrenderer
google,filament,15500,https://github.com/google/filament
lettier,3d-game-shaders-for-beginners,14900,https://github.com/lettier/3d-game-shaders-for-beginners
bkaradzic,bgfx,12800,https://github.com/bkaradzic/bgfx
raysan5,raylib,12500,https://github.com/raysan5/raylib
SFTtech,openage,11600,https://github.com/SFTtech/openage
OpenRCT2,OpenRCT2,11600,https://github.com/OpenRCT2/OpenRCT2
glfw,glfw,10400,https://github.com/glfw/glfw
fogleman,Craft,9700,https://github.com/fogleman/Craft
openframeworks,openFrameworks,9300,https://github.com/openframeworks/openFrameworks
cats-oss,android-gpuimage,8600,https://github.com/cats-oss/android-gpuimage
SFML,SFML,8600,https://github.com/SFML/SFML
isl-org,Open3D,8400,https://github.com/isl-org/Open3D
g-truc,glm,7400,https://github.com/g-truc/glm
baldurk,renderdoc,7200,https://github.com/baldurk/renderdoc
gfx-rs,wgpu,7100,https://github.com/gfx-rs/wgpu
olive-editor,olive,6900,https://github.com/olive-editor/olive
fschutt,azul,5500,https://github.com/fschutt/azul
openscad,openscad,5500,https://github.com/openscad/openscad
gephi,gephi,5300,https://github.com/gephi/gephi
gfx-rs,gfx,5200,https://github.com/gfx-rs/gfx
stenzek,duckstation,4700,https://github.com/stenzek/duckstation
flightlessmango,MangoHud,4600,https://github.com/flightlessmango/MangoHud
natario1,CameraView,4600,https://github.com/natario1/CameraView
Doikki,DKVideoPlayer,4500,https://github.com/Doikki/DKVideoPlayer
mosra,magnum,4400,https://github.com/mosra/magnum
mapbox,mapbox-gl-native,4300,https://github.com/mapbox/mapbox-gl-native
ultralight-ux,Ultralight,4200,https://github.com/ultralight-ux/Ultralight
LWJGL,lwjgl3,4100,https://github.com/LWJGL/lwjgl3
mifi,editly,4000,https://github.com/mifi/editly
endless-sky,endless-sky,3900,https://github.com/endless-sky/endless-sky
dfranx,SHADERed,3800,https://github.com/dfranx/SHADERed
panda3d,panda3d,3800,https://github.com/panda3d/panda3d
RandyGaul,cute_headers,3800,https://github.com/RandyGaul/cute_headers
Yalantis,StarWars.iOS,3700,https://github.com/Yalantis/StarWars.iOS
OGRECave,ogre,3200,https://github.com/OGRECave/ogre
crosire,reshade,3200,https://github.com/crosire/reshade
glium,glium,3100,https://github.com/glium/glium
