username,repo_name,stars_count,repo_url
huihut,interview,28300,https://github.com/huihut/interview
SerenityOS,serenity,24300,https://github.com/SerenityOS/serenity
Awesome-HarmonyOS,HarmonyOS,18700,https://github.com/Awesome-HarmonyOS/HarmonyOS
redox-os,redox,14400,https://github.com/redox-os/redox
reactos,reactos,12200,https://github.com/reactos/reactos
s-matyukevich,raspberry-pi-os,12100,https://github.com/s-matyukevich/raspberry-pi-os
phil-opp,blog_os,11800,https://github.com/phil-opp/blog_os
rust-embedded,rust-raspberrypi-OS-tutorials,10800,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
tuhdo,os01,10700,https://github.com/tuhdo/os01
AkashSingh3031,The-Complete-FAANG-Preparation,8900,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
wolverinn,Waking-Up,8700,https://github.com/wolverinn/Waking-Up
gurugio,lowlevelprogramming-university,8300,https://github.com/gurugio/lowlevelprogramming-university
bottlerocket-os,bottlerocket,7200,https://github.com/bottlerocket-os/bottlerocket
NodeOS,NodeOS,6800,https://github.com/NodeOS/NodeOS
klange,toaruos,5500,https://github.com/klange/toaruos
yourtion,30dayMakeOS,5000,https://github.com/yourtion/30dayMakeOS
ravynsoft,ravynos,4900,https://github.com/ravynsoft/ravynos
includeos,IncludeOS,4700,https://github.com/includeos/IncludeOS
tock,tock,4200,https://github.com/tock/tock
oshi,oshi,3700,https://github.com/oshi/oshi
nuta,kerla,3200,https://github.com/nuta/kerla
armbian,build,2800,https://github.com/armbian/build
amilajack,reading,2500,https://github.com/amilajack/reading
archcraft-os,archcraft,2400,https://github.com/archcraft-os/archcraft
theseus-os,Theseus,2400,https://github.com/theseus-os/Theseus
nebulet,nebulet,2300,https://github.com/nebulet/nebulet
the-akira,Computer-Science-Resources,2000,https://github.com/the-akira/Computer-Science-Resources
dyweb,papers-notebook,1900,https://github.com/dyweb/papers-notebook
skift-org,skift,1900,https://github.com/skift-org/skift
PureDarwin,PureDarwin,1900,https://github.com/PureDarwin/PureDarwin
joshiemoore,snakeware,1700,https://github.com/joshiemoore/snakeware
vlang,vinix,1600,https://github.com/vlang/vinix
FydeOS,chromium_os-raspberry_pi,1600,https://github.com/FydeOS/chromium_os-raspberry_pi
haiku,haiku,1600,https://github.com/haiku/haiku
PansonPanson,Java-Notes,1500,https://github.com/PansonPanson/Java-Notes
Harvey-OS,harvey,1400,https://github.com/Harvey-OS/harvey
ivandavidov,minimal,1400,https://github.com/ivandavidov/minimal
GimunLee,tech-refrigerator,1300,https://github.com/GimunLee/tech-refrigerator
illumos,illumos-gate,1300,https://github.com/illumos/illumos-gate
ehmicky,cross-platform-node-guide,1300,https://github.com/ehmicky/cross-platform-node-guide
