username,repo_name,stars_count,repo_url
bitcoin,bitcoin,68900,https://github.com/bitcoin/bitcoin
syncthing,syncthing,50300,https://github.com/syncthing/syncthing
ethereum,go-ethereum,41700,https://github.com/ethereum/go-ethereum
rustdesk,rustdesk,40000,https://github.com/rustdesk/rustdesk
webtorrent,webtorrent,27700,https://github.com/webtorrent/webtorrent
ipfs,ipfs,22000,https://github.com/ipfs/ipfs
HelloZeroNet,ZeroNet,17800,https://github.com/HelloZeroNet/ZeroNet
amark,gun,17100,https://github.com/amark/gun
Chocobozzz,PeerTube,11600,https://github.com/Chocobozzz/PeerTube
yjs,yjs,11100,https://github.com/yjs/yjs
peers,peerjs,11100,https://github.com/peers/peerjs
pion,webrtc,11000,https://github.com/pion/webrtc
webtorrent,webtorrent-desktop,9200,https://github.com/webtorrent/webtorrent-desktop
monero-project,monero,7700,https://github.com/monero-project/monero
orbitdb,orbit-db,7600,https://github.com/orbitdb/orbit-db
ipfs,js-ipfs,7400,https://github.com/ipfs/js-ipfs
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
feross,simple-peer,6700,https://github.com/feross/simple-peer
beakerbrowser,beaker,6700,https://github.com/beakerbrowser/beaker
berty,berty,6700,https://github.com/berty/berty
dragonflyoss,Dragonfly,6000,https://github.com/dragonflyoss/Dragonfly
uber,kraken,5400,https://github.com/uber/kraken
libp2p,go-libp2p,5100,https://github.com/libp2p/go-libp2p
ipfs,ipfs-desktop,5100,https://github.com/ipfs/ipfs-desktop
anacrolix,torrent,4700,https://github.com/anacrolix/torrent
qTox,qTox,4500,https://github.com/qTox/qTox
mikeroyal,Self-Hosting-Guide,4400,https://github.com/mikeroyal/Self-Hosting-Guide
bisq-network,bisq,4300,https://github.com/bisq-network/bisq
Tribler,tribler,4200,https://github.com/Tribler/tribler
ssbc,patchwork,3600,https://github.com/ssbc/patchwork
webtorrent,instant.io,3200,https://github.com/webtorrent/instant.io
lazy-luo,smarGate,3200,https://github.com/lazy-luo/smarGate
bitcoin-wallet,bitcoin-wallet,3200,https://github.com/bitcoin-wallet/bitcoin-wallet
golemfactory,clay,2900,https://github.com/golemfactory/clay
transmission-remote-gui,transgui,2900,https://github.com/transmission-remote-gui/transgui
Bitmessage,PyBitmessage,2800,https://github.com/Bitmessage/PyBitmessage
sergiotapia,magnetissimo,2600,https://github.com/sergiotapia/magnetissimo
lnbook,lnbook,2600,https://github.com/lnbook/lnbook
syncthing,syncthing-android,2400,https://github.com/syncthing/syncthing-android
PurpleI2P,i2pd,2400,https://github.com/PurpleI2P/i2pd
