username,repo_name,stars_count,repo_url
laravel,laravel,73000,https://github.com/laravel/laravel
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
laravel,framework,29300,https://github.com/laravel/framework
ziadoz,awesome-php,28400,https://github.com/ziadoz/awesome-php
symfony,symfony,28200,https://github.com/symfony/symfony
composer,composer,27500,https://github.com/composer/composer
guzzle,guzzle,22500,https://github.com/guzzle/guzzle
nextcloud,server,21900,https://github.com/nextcloud/server
DesignPatternsPHP,DesignPatternsPHP,21200,https://github.com/DesignPatternsPHP/DesignPatternsPHP
Seldaek,monolog,20300,https://github.com/Seldaek/monolog
PHPMailer,PHPMailer,19300,https://github.com/PHPMailer/PHPMailer
sebastianbergmann,phpunit,19000,https://github.com/sebastianbergmann/phpunit
monicahq,monica,18900,https://github.com/monicahq/monica
bcit-ci,CodeIgniter,18200,https://github.com/bcit-ci/CodeIgniter
swoole,swoole-src,17800,https://github.com/swoole/swoole-src
facebook,hhvm,17600,https://github.com/facebook/hhvm
matomo-org,matomo,17500,https://github.com/matomo-org/matomo
nikic,PHP-Parser,16100,https://github.com/nikic/PHP-Parser
erusev,parsedown,14400,https://github.com/erusev/parsedown
antlr,antlr4,14100,https://github.com/antlr/antlr4
yiisoft,yii2,14100,https://github.com/yiisoft/yii2
flarum,flarum,13900,https://github.com/flarum/flarum
getgrav,grav,13700,https://github.com/getgrav/grav
Intervention,image,13200,https://github.com/Intervention/image
lionsoul2014,ip2region,13100,https://github.com/lionsoul2014/ip2region
CachetHQ,Cachet,13100,https://github.com/CachetHQ/Cachet
filp,whoops,13000,https://github.com/filp/whoops
thephpleague,flysystem,12800,https://github.com/thephpleague/flysystem
vlucas,phpdotenv,12500,https://github.com/vlucas/phpdotenv
phacility,phabricator,12300,https://github.com/phacility/phabricator
roots,sage,12100,https://github.com/roots/sage
PHPOffice,PhpSpreadsheet,12100,https://github.com/PHPOffice/PhpSpreadsheet
ramsey,uuid,12000,https://github.com/ramsey/uuid
PHP-CS-Fixer,PHP-CS-Fixer,11900,https://github.com/PHP-CS-Fixer/PHP-CS-Fixer
phpstan,phpstan,11800,https://github.com/phpstan/phpstan
laradock,laradock,11800,https://github.com/laradock/laradock
chiraggude,awesome-laravel,11700,https://github.com/chiraggude/awesome-laravel
slimphp,Slim,11500,https://github.com/slimphp/Slim
SpartnerNL,Laravel-Excel,11400,https://github.com/SpartnerNL/Laravel-Excel
BookStackApp,BookStack,11300,https://github.com/BookStackApp/BookStack
