username,repo_name,stars_count,repo_url
kitao,pyxel,11600,https://github.com/kitao/pyxel
pico-8,awesome-PICO-8,2300,https://github.com/pico-8/awesome-PICO-8
picolove,picolove,642,https://github.com/picolove/picolove
jtothebell,fake-08,363,https://github.com/jtothebell/fake-08
dansanderson,picotool,328,https://github.com/dansanderson/picotool
Liquidream,scumm-8,293,https://github.com/Liquidream/scumm-8
Jakz,retro8,220,https://github.com/Jakz/retro8
torch2424,picoDeploy,200,https://github.com/torch2424/picoDeploy
0xcafed00d,tac08,174,https://github.com/0xcafed00d/tac08
wh0am1-dev,pico8-api,141,https://github.com/wh0am1-dev/pico8-api
seleb,PICO-8-Token-Optimizations,119,https://github.com/seleb/PICO-8-Token-Optimizations
egordorichev,neko8,102,https://github.com/egordorichev/neko8
gamax92,picolove,92,https://github.com/gamax92/picolove
movAX13h,P8Coder,89,https://github.com/movAX13h/P8Coder
Feneric,Minima,83,https://github.com/Feneric/Minima
juanitogan,p8-programming-fonts,74,https://github.com/juanitogan/p8-programming-fonts
JoebRogers,PICO-Tween,68,https://github.com/JoebRogers/PICO-Tween
freds72,pico8,68,https://github.com/freds72/pico8
yocto-8,yocto-8,68,https://github.com/yocto-8/yocto-8
jspicl,jspicl,62,https://github.com/jspicl/jspicl
andmatand,midi-to-pico8,58,https://github.com/andmatand/midi-to-pico8
gamax92,midi2pico,58,https://github.com/gamax92/midi2pico
musurca,pico2tic,48,https://github.com/musurca/pico2tic
Bakudankun,PICO-8.vim,43,https://github.com/Bakudankun/PICO-8.vim
ojdon,pico8-boilerplate,43,https://github.com/ojdon/pico8-boilerplate
Enichan,Pico8Platformer,42,https://github.com/Enichan/Pico8Platformer
wh0am1-dev,sublime-PICO-8,42,https://github.com/wh0am1-dev/sublime-PICO-8
NangiDev,pico-8-projects,42,https://github.com/NangiDev/pico-8-projects
jozanza,p8,42,https://github.com/jozanza/p8
JoebRogers,PICO-EC,41,https://github.com/JoebRogers/PICO-EC
cauli,picobox,41,https://github.com/cauli/picobox
jozanza,pico-test,35,https://github.com/jozanza/pico-test
nateProjects,Pico-8-Cookbook,34,https://github.com/nateProjects/Pico-8-Cookbook
thisismypassport,shrinko8,33,https://github.com/thisismypassport/shrinko8
jesstelford,pecs,33,https://github.com/jesstelford/pecs
benwiley4000,pico8-gpio-listener,31,https://github.com/benwiley4000/pico8-gpio-listener
peabnuts123,pico8-emmylua-definitions,29,https://github.com/peabnuts123/pico8-emmylua-definitions
Enichan,Depicofier,28,https://github.com/Enichan/Depicofier
hsandt,sonic-pico8,28,https://github.com/hsandt/sonic-pico8
iiviigames,pico8-api,25,https://github.com/iiviigames/pico8-api
