username,repo_name,stars_count,repo_url
angular,angular,87200,https://github.com/angular/angular
hoppscotch,hoppscotch,50700,https://github.com/hoppscotch/hoppscotch
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
freeCodeCamp,devdocs,31200,https://github.com/freeCodeCamp/devdocs
GoogleChrome,lighthouse,26300,https://github.com/GoogleChrome/lighthouse
quasarframework,quasar,23200,https://github.com/quasarframework/quasar
qier222,YesPlayMusic,22600,https://github.com/qier222/YesPlayMusic
RobinLinus,snapdrop,15200,https://github.com/RobinLinus/snapdrop
Lissy93,dashy,10200,https://github.com/Lissy93/dashy
vuestorefront,vue-storefront,10100,https://github.com/vuestorefront/vue-storefront
aws-amplify,amplify-js,9200,https://github.com/aws-amplify/amplify-js
ionic-team,capacitor,9100,https://github.com/ionic-team/capacitor
OnsenUI,OnsenUI,8700,https://github.com/OnsenUI/OnsenUI
alibaba,rax,7900,https://github.com/alibaba/rax
maxence-charriere,go-app,6900,https://github.com/maxence-charriere/go-app
andreasbm,web-skills,6400,https://github.com/andreasbm/web-skills
angus-c,just,5000,https://github.com/angus-c/just
TalAter,UpUp,4900,https://github.com/TalAter/UpUp
lauragift21,awesome-learning-resources,4900,https://github.com/lauragift21/awesome-learning-resources
BuilderIO,builder,4800,https://github.com/BuilderIO/builder
preactjs,preact-cli,4600,https://github.com/preactjs/preact-cli
NekR,offline-plugin,4500,https://github.com/NekR/offline-plugin
hemanth,awesome-pwa,4200,https://github.com/hemanth/awesome-pwa
assemble,assemble,4200,https://github.com/assemble/assemble
pipipi-pikachu,PPTist,4000,https://github.com/pipipi-pikachu/PPTist
mgechev,angular-performance-checklist,4000,https://github.com/mgechev/angular-performance-checklist
cotes2020,jekyll-theme-chirpy,3800,https://github.com/cotes2020/jekyll-theme-chirpy
alienzhou,frontend-tech-list,3500,https://github.com/alienzhou/frontend-tech-list
webhintio,hint,3500,https://github.com/webhintio/hint
SangKa,PWA-Book-CN,3500,https://github.com/SangKa/PWA-Book-CN
vuejs-templates,pwa,3000,https://github.com/vuejs-templates/pwa
shadowwalker,next-pwa,2900,https://github.com/shadowwalker/next-pwa
vuesion,vuesion,2700,https://github.com/vuesion/vuesion
swarmpit,swarmpit,2600,https://github.com/swarmpit/swarmpit
Atyantik,react-pwa,2500,https://github.com/Atyantik/react-pwa
TarikHuber,react-most-wanted,2400,https://github.com/TarikHuber/react-most-wanted
elegantapp,pwa-asset-generator,2300,https://github.com/elegantapp/pwa-asset-generator
GoogleChromeLabs,lighthousebot,2200,https://github.com/GoogleChromeLabs/lighthousebot
samuelmaddock,metastream,2200,https://github.com/samuelmaddock/metastream
padloc,padloc,2200,https://github.com/padloc/padloc
