username,repo_name,stars_count,repo_url
yarnpkg,yarn,41100,https://github.com/yarnpkg/yarn
Homebrew,brew,35500,https://github.com/Homebrew/brew
composer,composer,27500,https://github.com/composer/composer
python-poetry,poetry,24500,https://github.com/python-poetry/poetry
pnpm,pnpm,22800,https://github.com/pnpm/pnpm
microsoft,winget-cli,19800,https://github.com/microsoft/winget-cli
microsoft,vcpkg,18200,https://github.com/microsoft/vcpkg
bower,bower,15100,https://github.com/bower/bower
Carthage,Carthage,14800,https://github.com/Carthage/Carthage
CocoaPods,CocoaPods,14000,https://github.com/CocoaPods/CocoaPods
golang,dep,13000,https://github.com/golang/dep
rust-lang,cargo,10100,https://github.com/rust-lang/cargo
chocolatey,choco,9000,https://github.com/chocolatey/choco
ds300,patch-package,8400,https://github.com/ds300/patch-package
NixOS,nix,7800,https://github.com/NixOS/nix
volta-cli,volta,7800,https://github.com/volta-cli/volta
zsh-users,antigen,7500,https://github.com/zsh-users/antigen
npm,cli,7000,https://github.com/npm/cli
xmake-io,xmake,6800,https://github.com/xmake-io/xmake
conan-io,conan,6700,https://github.com/conan-io/conan
teaxyz,cli,6200,https://github.com/teaxyz/cli
yarnpkg,berry,6100,https://github.com/yarnpkg/berry
wbthomason,packer.nvim,6100,https://github.com/wbthomason/packer.nvim
mamba-org,mamba,4400,https://github.com/mamba-org/mamba
pdm-project,pdm,4200,https://github.com/pdm-project/pdm
sindresorhus,awesome-npm,4200,https://github.com/sindresorhus/awesome-npm
gomods,athens,4100,https://github.com/gomods/athens
folke,lazy.nvim,4100,https://github.com/folke/lazy.nvim
williamboman,mason.nvim,4100,https://github.com/williamboman/mason.nvim
antfu,ni,3800,https://github.com/antfu/ni
whalebrew,whalebrew,3700,https://github.com/whalebrew/whalebrew
hacs,integration,3500,https://github.com/hacs/integration
r-darwish,topgrade,3400,https://github.com/r-darwish/topgrade
spack,spack,3300,https://github.com/spack/spack
rubygems,rubygems,3300,https://github.com/rubygems/rubygems
luarocks,luarocks,2800,https://github.com/luarocks/luarocks
Linuxbrew,brew,2600,https://github.com/Linuxbrew/brew
zkat,npx,2600,https://github.com/zkat/npx
MuntashirAkon,AppManager,2600,https://github.com/MuntashirAkon/AppManager
habitat-sh,habitat,2500,https://github.com/habitat-sh/habitat
