username,repo_name,stars_count,repo_url
learnbyexample,Command-line-text-processing,10100,https://github.com/learnbyexample/Command-line-text-processing
theos,theos,4000,https://github.com/theos/theos
kaitai-io,kaitai_struct,3400,https://github.com/kaitai-io/kaitai_struct
rsnapshot,rsnapshot,2800,https://github.com/rsnapshot/rsnapshot
imapsync,imapsync,2800,https://github.com/imapsync/imapsync
weechat,weechat,2600,https://github.com/weechat/weechat
apache,avro,2500,https://github.com/apache/avro
jfcoz,postgresqltuner,2400,https://github.com/jfcoz/postgresqltuner
mojolicious,mojo,2400,https://github.com/mojolicious/mojo
apache,activemq,2100,https://github.com/apache/activemq
Komodo,KomodoEdit,2100,https://github.com/Komodo/KomodoEdit
exiftool,exiftool,2000,https://github.com/exiftool/exiftool
munin-monitoring,munin,1800,https://github.com/munin-monitoring/munin
kaxap,arl,1800,https://github.com/kaxap/arl
hexsum,Mojo-Webqq,1700,https://github.com/hexsum/Mojo-Webqq
neurobin,shc,1600,https://github.com/neurobin/shc
Perl,perl5,1600,https://github.com/Perl/perl5
htrgouvea,nipe,1600,https://github.com/htrgouvea/nipe
beyondgrep,ack2,1500,https://github.com/beyondgrep/ack2
Difegue,LANraragi,1300,https://github.com/Difegue/LANraragi
learnbyexample,scripting_course,1300,https://github.com/learnbyexample/scripting_course
hexsum,Mojo-Weixin,1200,https://github.com/hexsum/Mojo-Weixin
OpenKore,openkore,1100,https://github.com/OpenKore/openkore
HariSekhon,DevOps-Bash-tools,1100,https://github.com/HariSekhon/DevOps-Bash-tools
trizen,youtube-viewer,1000,https://github.com/trizen/youtube-viewer
onelang,OneLang,1000,https://github.com/onelang/OneLang
mikaku,Monitorix,1000,https://github.com/mikaku/Monitorix
smxi,inxi,1000,https://github.com/smxi/inxi
duckduckgo,zeroclickinfo-goodies,983,https://github.com/duckduckgo/zeroclickinfo-goodies
stark,Color-Scripts,936,https://github.com/stark/Color-Scripts
convos-chat,convos,925,https://github.com/convos-chat/convos
skx,sysadmin-util,921,https://github.com/skx/sysadmin-util
Logitech,slimserver,865,https://github.com/Logitech/slimserver
hacktoolspack,hack-tools,856,https://github.com/hacktoolspack/hack-tools
asbru-cm,asbru-cm,835,https://github.com/asbru-cm/asbru-cm
wireghoul,dotdotpwn,830,https://github.com/wireghoul/dotdotpwn
drujensen,fib,809,https://github.com/drujensen/fib
trizen,trizen,770,https://github.com/trizen/trizen
metabrainz,musicbrainz-server,742,https://github.com/metabrainz/musicbrainz-server
PerlDancer,Dancer,737,https://github.com/PerlDancer/Dancer
