username,repo_name,stars_count,repo_url
photonstorm,phaser,33900,https://github.com/photonstorm/phaser
nicholas-ochoa,OpenSC2K,4800,https://github.com/nicholas-ochoa/OpenSC2K
ssusnic,Machine-Learning-Flappy-Bird,1800,https://github.com/ssusnic/Machine-Learning-Flappy-Bird
photonstorm,phaser-examples,1700,https://github.com/photonstorm/phaser-examples
channingbreeze,games,1600,https://github.com/channingbreeze/games
lean,phaser-es6-webpack,1300,https://github.com/lean/phaser-es6-webpack
photonstorm,phaser-ce,1300,https://github.com/photonstorm/phaser-ce
rexrainbow,phaser3-rex-notes,1000,https://github.com/rexrainbow/phaser3-rex-notes
digitsensitive,phaser3-typescript,886,https://github.com/digitsensitive/phaser3-typescript
oklemenz,PrinceJS,870,https://github.com/oklemenz/PrinceJS
enable3d,enable3d,757,https://github.com/enable3d/enable3d
kevinshen56714,SkyOffice,706,https://github.com/kevinshen56714/SkyOffice
DragonBones,DragonBonesJS,696,https://github.com/DragonBones/DragonBonesJS
odrick,free-tex-packer,649,https://github.com/odrick/free-tex-packer
lifenautjoe,webpack-starter-basic,577,https://github.com/lifenautjoe/webpack-starter-basic
ganlvtech,phaser-catch-the-cat,506,https://github.com/ganlvtech/phaser-catch-the-cat
jondubois,iogrid,474,https://github.com/jondubois/iogrid
rroylance,phaser-ce-npm-webpack-typescript-starter-project,420,https://github.com/rroylance/phaser-ce-npm-webpack-typescript-starter-project
photonstorm,phaser3-docs,411,https://github.com/photonstorm/phaser3-docs
mailgyc,doudizhu,401,https://github.com/mailgyc/doudizhu
photonstorm,phaser3-typescript-project-template,371,https://github.com/photonstorm/phaser3-typescript-project-template
Jerenaux,phaserquest,356,https://github.com/Jerenaux/phaserquest
yandeu,phaser-project-template,355,https://github.com/yandeu/phaser-project-template
balajmarius,commit4,337,https://github.com/balajmarius/commit4
damian-pastorini,reldens,321,https://github.com/damian-pastorini/reldens
phaserjs,phaser,306,https://github.com/phaserjs/phaser
mikewesthad,navmesh,284,https://github.com/mikewesthad/navmesh
PhaserEditor2D,PhaserEditor2D-v3,273,https://github.com/PhaserEditor2D/PhaserEditor2D-v3
julien,generator-phaser,258,https://github.com/julien/generator-phaser
jsfehler,phaser-ui-tools,245,https://github.com/jsfehler/phaser-ui-tools
AILHC,EasyGameFrameworkOpen,237,https://github.com/AILHC/EasyGameFrameworkOpen
proyecto26,ion-phaser,236,https://github.com/proyecto26/ion-phaser
expo,expo-phaser,209,https://github.com/expo/expo-phaser
knagaitsev,slither.io-clone,208,https://github.com/knagaitsev/slither.io-clone
Sun0fABeach,vue-phaser3,197,https://github.com/Sun0fABeach/vue-phaser3
azerion,phaser-input,196,https://github.com/azerion/phaser-input
Flaxis,slick-ui,187,https://github.com/Flaxis/slick-ui
aaron5670,PokeMMO-Online-Realtime-Multiplayer-Game,175,https://github.com/aaron5670/PokeMMO-Online-Realtime-Multiplayer-Game
cristianbote,phaser-state-transition,173,https://github.com/cristianbote/phaser-state-transition
jojoee,phaser-examples,171,https://github.com/jojoee/phaser-examples
