username,repo_name,stars_count,repo_url
TryGhost,Ghost,42800,https://github.com/TryGhost/Ghost
lerna,lerna,34400,https://github.com/lerna/lerna
jgm,pandoc,28400,https://github.com/jgm/pandoc
nteract,papermill,5200,https://github.com/nteract/papermill
timlrx,tailwind-nextjs-starter-blog,4400,https://github.com/timlrx/tailwind-nextjs-starter-blog
Triple-T,gradle-play-publisher,3900,https://github.com/Triple-T/gradle-play-publisher
writefreely,writefreely,3500,https://github.com/writefreely/writefreely
austintoddj,canvas,3100,https://github.com/austintoddj/canvas
themsaid,wink,2700,https://github.com/themsaid/wink
substance,substance,2700,https://github.com/substance/substance
TryGhost,Casper,2400,https://github.com/TryGhost/Casper
intuit,auto,2000,https://github.com/intuit/auto
sile-typesetter,sile,1500,https://github.com/sile-typesetter/sile
w3c,epubcheck,1300,https://github.com/w3c/epubcheck
openjournals,joss,1200,https://github.com/openjournals/joss
substance,texture,993,https://github.com/substance/texture
vanniktech,gradle-maven-publish-plugin,904,https://github.com/vanniktech/gradle-maven-publish-plugin
javiereguiluz,easybook,753,https://github.com/javiereguiluz/easybook
elgohr,Publish-Docker-Github-Action,743,https://github.com/elgohr/Publish-Docker-Github-Action
man-group,notebooker,726,https://github.com/man-group/notebooker
FeatherCMS,feather,565,https://github.com/FeatherCMS/feather
WilliamVenner,gmpublisher,533,https://github.com/WilliamVenner/gmpublisher
morgan3d,markdeep,525,https://github.com/morgan3d/markdeep
Azure,ResourceModules,516,https://github.com/Azure/ResourceModules
Postleaf,postleaf,515,https://github.com/Postleaf/postleaf
PodcastGenerator,PodcastGenerator,501,https://github.com/PodcastGenerator/PodcastGenerator
pandoc-scholar,pandoc-scholar,447,https://github.com/pandoc-scholar/pandoc-scholar
manubot,rootstock,411,https://github.com/manubot/rootstock
mityalebedev,The-Shell,410,https://github.com/mityalebedev/The-Shell
TryGhost,Ghost-CLI,409,https://github.com/TryGhost/Ghost-CLI
manubot,manubot,393,https://github.com/manubot/manubot
pressbooks,pressbooks,389,https://github.com/pressbooks/pressbooks
typemill,typemill,368,https://github.com/typemill/typemill
vitorfs,parsifal,356,https://github.com/vitorfs/parsifal
dita-ot,dita-ot,339,https://github.com/dita-ot/dita-ot
kelyvin,ghost-caffeine-theme,325,https://github.com/kelyvin/ghost-caffeine-theme
wupdigital,android-maven-publish,320,https://github.com/wupdigital/android-maven-publish
TryGhost,Starter,315,https://github.com/TryGhost/Starter
bzg,org-mode,312,https://github.com/bzg/org-mode
gradle-nexus,publish-plugin,311,https://github.com/gradle-nexus/publish-plugin
