username,repo_name,stars_count,repo_url
donnemartin,system-design-primer,216000,https://github.com/donnemartin/system-design-primer
tensorflow,tensorflow,173000,https://github.com/tensorflow/tensorflow
CyC2018,CS-Notes,163000,https://github.com/CyC2018/CS-Notes
vinta,awesome-python,162000,https://github.com/vinta/awesome-python
TheAlgorithms,Python,156000,https://github.com/TheAlgorithms/Python
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
practical-tutorials,project-based-learning,96000,https://github.com/practical-tutorials/project-based-learning
huggingface,transformers,89300,https://github.com/huggingface/transformers
nvbn,thefuck,76600,https://github.com/nvbn/thefuck
django,django,69600,https://github.com/django/django
521xueweihan,HelloGitHub,66800,https://github.com/521xueweihan/HelloGitHub
pytorch,pytorch,64700,https://github.com/pytorch/pytorch
pallets,flask,62400,https://github.com/pallets/flask
home-assistant,core,59300,https://github.com/home-assistant/core
keras-team,keras,57800,https://github.com/keras-team/keras
ansible,ansible,56900,https://github.com/ansible/ansible
tiangolo,fastapi,56100,https://github.com/tiangolo/fastapi
scikit-learn,scikit-learn,53600,https://github.com/scikit-learn/scikit-learn
apache,superset,51200,https://github.com/apache/superset
azl397985856,leetcode,50900,https://github.com/azl397985856/leetcode
3b1b,manim,50400,https://github.com/3b1b/manim
psf,requests,49300,https://github.com/psf/requests
ageitgey,face_recognition,47800,https://github.com/ageitgey/face_recognition
scrapy,scrapy,46700,https://github.com/scrapy/scrapy
localstack,localstack,46400,https://github.com/localstack/localstack
microsoft,ML-For-Beginners,45700,https://github.com/microsoft/ML-For-Beginners
yt-dlp,yt-dlp,44200,https://github.com/yt-dlp/yt-dlp
Textualize,rich,42700,https://github.com/Textualize/rich
aymericdamien,TensorFlow-Examples,42700,https://github.com/aymericdamien/TensorFlow-Examples
ryanoasis,nerd-fonts,42600,https://github.com/ryanoasis/nerd-fonts
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
d2l-ai,d2l-zh,41200,https://github.com/d2l-ai/d2l-zh
CorentinJ,Real-Time-Voice-Cloning,40600,https://github.com/CorentinJ/Real-Time-Voice-Cloning
Avik-Jain,100-Days-Of-ML-Code,40500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
sherlock-project,sherlock,40100,https://github.com/sherlock-project/sherlock
jakevdp,PythonDataScienceHandbook,38000,https://github.com/jakevdp/PythonDataScienceHandbook
pandas-dev,pandas,37500,https://github.com/pandas-dev/pandas
youngyangyang04,leetcode-master,37200,https://github.com/youngyangyang04/leetcode-master
faif,python-patterns,37000,https://github.com/faif/python-patterns
apache,spark,35400,https://github.com/apache/spark
