username,repo_name,stars_count,repo_url
hoppscotch,hoppscotch,50700,https://github.com/hoppscotch/hoppscotch
nocodb,nocodb,35200,https://github.com/nocodb/nocodb
hasura,graphql-engine,29500,https://github.com/hasura/graphql-engine
Kong,insomnia,27400,https://github.com/Kong/insomnia
httpie,httpie,27100,https://github.com/httpie/httpie
gofiber,fiber,25500,https://github.com/gofiber/fiber
swagger-api,swagger-ui,23600,https://github.com/swagger-api/swagger-ui
zeromicro,go-zero,23600,https://github.com/zeromicro/go-zero
microsoft,api-guidelines,21200,https://github.com/microsoft/api-guidelines
parse-community,parse-server,20200,https://github.com/parse-community/parse-server
OpenAPITools,openapi-generator,15800,https://github.com/OpenAPITools/openapi-generator
swagger-api,swagger-codegen,15500,https://github.com/swagger-api/swagger-codegen
grpc-ecosystem,grpc-gateway,15200,https://github.com/grpc-ecosystem/grpc-gateway
go-chi,chi,13800,https://github.com/go-chi/chi
restify,node-restify,10600,https://github.com/restify/node-restify
binwiederhier,ntfy,9800,https://github.com/binwiederhier/ntfy
r-spacex,SpaceX-API,9800,https://github.com/r-spacex/SpaceX-API
httpie,http-prompt,8700,https://github.com/httpie/http-prompt
dotnet-architecture,eShopOnWeb,8600,https://github.com/dotnet-architecture/eShopOnWeb
cakephp,cakephp,8600,https://github.com/cakephp/cakephp
kgrzybek,modular-monolith-with-ddd,8200,https://github.com/kgrzybek/modular-monolith-with-ddd
swagger-api,swagger-editor,8100,https://github.com/swagger-api/swagger-editor
Sylius,Sylius,7300,https://github.com/Sylius/Sylius
swagger-api,swagger-core,7200,https://github.com/swagger-api/swagger-core
javalin,javalin,6400,https://github.com/javalin/javalin
rest-assured,rest-assured,6300,https://github.com/rest-assured/rest-assured
hagopj13,node-express-boilerplate,5300,https://github.com/hagopj13/node-express-boilerplate
aisuhua,restful-api-design-references,5000,https://github.com/aisuhua/restful-api-design-references
TencentBlueKing,bk-cmdb,4900,https://github.com/TencentBlueKing/bk-cmdb
mockoon,mockoon,4700,https://github.com/mockoon/mockoon
frappe,frappe,4600,https://github.com/frappe/frappe
openblocks-dev,openblocks,4500,https://github.com/openblocks-dev/openblocks
postlight,headless-wp-starter,4300,https://github.com/postlight/headless-wp-starter
Huachao,vscode-restclient,4200,https://github.com/Huachao/vscode-restclient
vitalik,django-ninja,4200,https://github.com/vitalik/django-ninja
dpgaspar,Flask-AppBuilder,4100,https://github.com/dpgaspar/Flask-AppBuilder
ahkarami,Deep-Learning-in-Production,4000,https://github.com/ahkarami/Deep-Learning-in-Production
swagger-api,swagger-node,4000,https://github.com/swagger-api/swagger-node
azat-co,practicalnode,3800,https://github.com/azat-co/practicalnode
prest,prest,3700,https://github.com/prest/prest
