username,repo_name,stars_count,repo_url
rails,rails,52600,https://github.com/rails/rails
discourse,discourse,37600,https://github.com/discourse/discourse
gitlabhq,gitlabhq,23200,https://github.com/gitlabhq/gitlabhq
heartcombo,devise,23100,https://github.com/heartcombo/devise
forem,forem,20400,https://github.com/forem/forem
chatwoot,chatwoot,14900,https://github.com/chatwoot/chatwoot
diaspora,diaspora,13200,https://github.com/diaspora/diaspora
spree,spree,12200,https://github.com/spree/spree
activeadmin,activeadmin,9300,https://github.com/activeadmin/activeadmin
kaminari,kaminari,8400,https://github.com/kaminari/kaminari
heartcombo,simple_form,8100,https://github.com/heartcombo/simple_form
thoughtbot,factory_bot,7700,https://github.com/thoughtbot/factory_bot
primer,octicons,7700,https://github.com/primer/octicons
gobuffalo,buffalo,7600,https://github.com/gobuffalo/buffalo
presidentbeef,brakeman,6600,https://github.com/presidentbeef/brakeman
reactjs,react-rails,6600,https://github.com/reactjs/react-rails
paper-trail-gem,paper_trail,6500,https://github.com/paper-trail-gem/paper_trail
rubocop,rails-style-guide,6300,https://github.com/rubocop/rails-style-guide
ankane,searchkick,6200,https://github.com/ankane/searchkick
norman,friendly_id,6000,https://github.com/norman/friendly_id
sj26,mailcatcher,5900,https://github.com/sj26/mailcatcher
mislav,will_paginate,5700,https://github.com/mislav/will_paginate
thoughtbot,administrate,5600,https://github.com/thoughtbot/administrate
railsgirls,railsgirls.github.io,5400,https://github.com/railsgirls/railsgirls.github.io
activerecord-hackery,ransack,5400,https://github.com/activerecord-hackery/ransack
rails,webpacker,5300,https://github.com/rails/webpacker
CanCanCommunity,cancancan,5300,https://github.com/CanCanCommunity/cancancan
rmosolgo,graphql-ruby,5200,https://github.com/rmosolgo/graphql-ruby
aasm,aasm,4700,https://github.com/aasm/aasm
solidusio,solidus,4600,https://github.com/solidusio/solidus
simplecov-ruby,simplecov,4600,https://github.com/simplecov-ruby/simplecov
mina-deploy,mina,4300,https://github.com/mina-deploy/mina
octobox,octobox,4200,https://github.com/octobox/octobox
ctran,annotate_models,4100,https://github.com/ctran/annotate_models
ddnexus,pagy,4100,https://github.com/ddnexus/pagy
thoughtbot,suspenders,3900,https://github.com/thoughtbot/suspenders
refinery,refinerycms,3900,https://github.com/refinery/refinerycms
ankane,ahoy,3800,https://github.com/ankane/ahoy
ruby-china,homeland,3700,https://github.com/ruby-china/homeland
thoughtbot,clearance,3600,https://github.com/thoughtbot/clearance
