username,repo_name,stars_count,repo_url
facebook,react-native,109000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
enaqx,awesome-react,54600,https://github.com/enaqx/awesome-react
laurent22,joplin,35200,https://github.com/laurent22/joplin
dkhamsing,open-source-ios-apps,34200,https://github.com/dkhamsing/open-source-ios-apps
react-hook-form,react-hook-form,34100,https://github.com/react-hook-form/react-hook-form
jondot,awesome-react-native,32700,https://github.com/jondot/awesome-react-native
NervJS,taro,32600,https://github.com/NervJS/taro
jaredpalmer,formik,32100,https://github.com/jaredpalmer/formik
typeorm,typeorm,30900,https://github.com/typeorm/typeorm
sudheerj,reactjs-interview-questions,28400,https://github.com/sudheerj/reactjs-interview-questions
vercel,swr,26200,https://github.com/vercel/swr
mattermost,mattermost-server,25100,https://github.com/mattermost/mattermost-server
react-native-elements,react-native-elements,23500,https://github.com/react-native-elements/react-native-elements
react-navigation,react-navigation,22300,https://github.com/react-navigation/react-navigation
necolas,react-native-web,20700,https://github.com/necolas/react-native-web
expo,expo,19800,https://github.com/expo/expo
GeekyAnts,NativeBase,19200,https://github.com/GeekyAnts/NativeBase
pubkey,rxdb,19000,https://github.com/pubkey/rxdb
zulip,zulip,17500,https://github.com/zulip/zulip
oblador,react-native-vector-icons,16500,https://github.com/oblador/react-native-vector-icons
lottie-react-native,lottie-react-native,15800,https://github.com/lottie-react-native/lottie-react-native
microsoft,react-native-windows,15300,https://github.com/microsoft/react-native-windows
infinitered,ignite,15100,https://github.com/infinitered/ignite
feathersjs,feathers,14500,https://github.com/feathersjs/feathers
infinitered,reactotron,14000,https://github.com/infinitered/reactotron
react-native-maps,react-native-maps,14000,https://github.com/react-native-maps/react-native-maps
expo,create-react-native-app,13100,https://github.com/expo/create-react-native-app
danilowoz,react-content-loader,12800,https://github.com/danilowoz/react-content-loader
wix,react-native-navigation,12800,https://github.com/wix/react-native-navigation
FaridSafi,react-native-gifted-chat,12300,https://github.com/FaridSafi/react-native-gifted-chat
invertase,react-native-firebase,10700,https://github.com/invertase/react-native-firebase
callstack,react-native-paper,10500,https://github.com/callstack/react-native-paper
wix,Detox,10300,https://github.com/wix/Detox
leecade,react-native-swiper,10100,https://github.com/leecade/react-native-swiper
jhen0409,react-native-debugger,9900,https://github.com/jhen0409/react-native-debugger
welldone-software,why-did-you-render,9800,https://github.com/welldone-software/why-did-you-render
react-native-camera,react-native-camera,9600,https://github.com/react-native-camera/react-native-camera
akveo,react-native-ui-kitten,9600,https://github.com/akveo/react-native-ui-kitten
