username,repo_name,stars_count,repo_url
freeCodeCamp,freeCodeCamp,364000,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,205000,https://github.com/facebook/react
facebook,react-native,109000,https://github.com/facebook/react-native
vercel,next.js,104000,https://github.com/vercel/next.js
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
facebook,create-react-app,99300,https://github.com/facebook/create-react-app
mui,material-ui,85500,https://github.com/mui/material-ui
ant-design,ant-design,85200,https://github.com/ant-design/ant-design
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,55600,https://github.com/leonardomso/33-js-concepts
enaqx,awesome-react,54600,https://github.com/enaqx/awesome-react
gatsbyjs,gatsby,54300,https://github.com/gatsbyjs/gatsby
apache,superset,51200,https://github.com/apache/superset
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
meteor,meteor,43400,https://github.com/meteor/meteor
facebook,docusaurus,43400,https://github.com/facebook/docusaurus
vercel,hyper,40600,https://github.com/vercel/hyper
oven-sh,bun,40300,https://github.com/oven-sh/bun
typescript-cheatsheets,react,40300,https://github.com/typescript-cheatsheets/react
styled-components,styled-components,38500,https://github.com/styled-components/styled-components
FreeCodeCampChina,freecodecamp.cn,36500,https://github.com/FreeCodeCampChina/freecodecamp.cn
brillout,awesome-react-components,35200,https://github.com/brillout/awesome-react-components
evanw,esbuild,35000,https://github.com/evanw/esbuild
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
preactjs,preact,34200,https://github.com/preactjs/preact
ant-design,ant-design-pro,34000,https://github.com/ant-design/ant-design-pro
TanStack,query,33800,https://github.com/TanStack/query
jondot,awesome-react-native,32700,https://github.com/jondot/awesome-react-native
NervJS,taro,32600,https://github.com/NervJS/taro
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
jaredpalmer,formik,32100,https://github.com/jaredpalmer/formik
xitu,gold-miner,32100,https://github.com/xitu/gold-miner
chakra-ui,chakra-ui,32000,https://github.com/chakra-ui/chakra-ui
atlassian,react-beautiful-dnd,29700,https://github.com/atlassian/react-beautiful-dnd
react-boilerplate,react-boilerplate,29100,https://github.com/react-boilerplate/react-boilerplate
sudheerj,reactjs-interview-questions,28400,https://github.com/sudheerj/reactjs-interview-questions
Advanced-Frontend,Daily-Interview-Question,26700,https://github.com/Advanced-Frontend/Daily-Interview-Question
ianstormtaylor,slate,26700,https://github.com/ianstormtaylor/slate
mobxjs,mobx,26300,https://github.com/mobxjs/mobx
vercel,swr,26200,https://github.com/vercel/swr
