username,repo_name,stars_count,repo_url
CodeHubApp,CodeHub,23000,https://github.com/CodeHubApp/CodeHub
reactiveui,ReactiveUI,7400,https://github.com/reactiveui/ReactiveUI
skatejs,skatejs,3300,https://github.com/skatejs/skatejs
Wouterdek,NodeNetwork,651,https://github.com/Wouterdek/NodeNetwork
chayxana,Restaurant-App,635,https://github.com/chayxana/Restaurant-App
wieslawsoltes,Dock,560,https://github.com/wieslawsoltes/Dock
reactiveui,Camelotia,393,https://github.com/reactiveui/Camelotia
reactiveui,ReactiveUI.Samples,265,https://github.com/reactiveui/ReactiveUI.Samples
SimpleStateMachine,SimpleStateMachineNodeEditor,227,https://github.com/SimpleStateMachine/SimpleStateMachineNodeEditor
TheEightBot,Reactive-Examples,226,https://github.com/TheEightBot/Reactive-Examples
reactiveui,ReactiveUI.Validation,181,https://github.com/reactiveui/ReactiveUI.Validation
reactiveui,ReactiveMvvm,151,https://github.com/reactiveui/ReactiveMvvm
reactiveui,Sextant,150,https://github.com/reactiveui/Sextant
sstorie,experiments,140,https://github.com/sstorie/experiments
845669495,WeChatClient,85,https://github.com/845669495/WeChatClient
Asesjix,ReactiveUI.Winforms.Samples,75,https://github.com/Asesjix/ReactiveUI.Winforms.Samples
lolo77777,OpenCVVision,66,https://github.com/lolo77777/OpenCVVision
wieslawsoltes,AvaloniaDockApplication,60,https://github.com/wieslawsoltes/AvaloniaDockApplication
dchaib,Caliburn.Micro.ReactiveUI,55,https://github.com/dchaib/Caliburn.Micro.ReactiveUI
Ombrelin,pandoc-gui,49,https://github.com/Ombrelin/pandoc-gui
khuong291,Binder,37,https://github.com/khuong291/Binder
TolikPylypchuk,KeyboardSwitch,35,https://github.com/TolikPylypchuk/KeyboardSwitch
reactiveui,website,33,https://github.com/reactiveui/website
DevsDNA,DevsDNA-Application,27,https://github.com/DevsDNA/DevsDNA-Application
vic,laminar_cycle,22,https://github.com/vic/laminar_cycle
TolikPylypchuk,Cineaste,22,https://github.com/TolikPylypchuk/Cineaste
Totopolis,Kamban,22,https://github.com/Totopolis/Kamban
Weingartner,ReactiveCompositeCollections,19,https://github.com/Weingartner/ReactiveCompositeCollections
NZSmartie,CoAPExplorer,16,https://github.com/NZSmartie/CoAPExplorer
aalmada,reactive-dev-days-lab,16,https://github.com/aalmada/reactive-dev-days-lab
antony,svelte-seed,15,https://github.com/antony/svelte-seed
Marplex,LiveData,14,https://github.com/Marplex/LiveData
gerardo-lijs,Asynchronous-Programming-Samples,13,https://github.com/gerardo-lijs/Asynchronous-Programming-Samples
richk1,HelloWorldRUI,13,https://github.com/richk1/HelloWorldRUI
escamoteur,ReactiveUI.Dialogs,13,https://github.com/escamoteur/ReactiveUI.Dialogs
AvantiPoint,AP.MobileToolkit,13,https://github.com/AvantiPoint/AP.MobileToolkit
hmz777,NetStalker.Avalonia,13,https://github.com/hmz777/NetStalker.Avalonia
dwarry,ReactiveUiMahAppsDialog,11,https://github.com/dwarry/ReactiveUiMahAppsDialog
jurabek,BloombergTrader,10,https://github.com/jurabek/BloombergTrader
RLittlesII,ReactiveUI.Showroom,9,https://github.com/RLittlesII/ReactiveUI.Showroom
