username,repo_name,stars_count,repo_url
denoland,deno,88800,https://github.com/denoland/deno
rust-lang,rust,79700,https://github.com/rust-lang/rust
tauri-apps,tauri,61600,https://github.com/tauri-apps/tauri
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
sharkdp,bat,40500,https://github.com/sharkdp/bat
rustdesk,rustdesk,40000,https://github.com/rustdesk/rustdesk
BurntSushi,ripgrep,36900,https://github.com/BurntSushi/ripgrep
rust-lang,rustlings,36500,https://github.com/rust-lang/rustlings
meilisearch,meilisearch,35300,https://github.com/meilisearch/meilisearch
rust-unofficial,awesome-rust,33600,https://github.com/rust-unofficial/awesome-rust
starship,starship,33500,https://github.com/starship/starship
AppFlowy-IO,AppFlowy,33200,https://github.com/AppFlowy-IO/AppFlowy
lencx,ChatGPT,28600,https://github.com/lencx/ChatGPT
yewstack,yew,27000,https://github.com/yewstack/yew
sharkdp,fd,26900,https://github.com/sharkdp/fd
swc-project,swc,26800,https://github.com/swc-project/swc
dani-garcia,vaultwarden,24100,https://github.com/dani-garcia/vaultwarden
nushell,nushell,24100,https://github.com/nushell/nushell
bevyengine,bevy,23000,https://github.com/bevyengine/bevy
servo,servo,22800,https://github.com/servo/servo
ogham,exa,21300,https://github.com/ogham/exa
firecracker-microvm,firecracker,21200,https://github.com/firecracker-microvm/firecracker
helix-editor,helix,20400,https://github.com/helix-editor/helix
SergioBenitez,Rocket,20300,https://github.com/SergioBenitez/Rocket
google,flatbuffers,20100,https://github.com/google/flatbuffers
tokio-rs,tokio,20000,https://github.com/tokio-rs/tokio
iced-rs,iced,18500,https://github.com/iced-rs/iced
valeriansaliou,sonic,18000,https://github.com/valeriansaliou/sonic
actix,actix-web,17100,https://github.com/actix/actix-web
dandavison,delta,16900,https://github.com/dandavison/delta
pola-rs,polars,15900,https://github.com/pola-rs/polars
sharkdp,hyperfine,15400,https://github.com/sharkdp/hyperfine
TheAlgorithms,Rust,15100,https://github.com/TheAlgorithms/Rust
sunface,rust-course,14900,https://github.com/sunface/rust-course
cube-js,cube,14800,https://github.com/cube-js/cube
wasmerio,wasmer,14800,https://github.com/wasmerio/wasmer
RustPython,RustPython,14700,https://github.com/RustPython/RustPython
Rigellute,spotify-tui,14600,https://github.com/Rigellute/spotify-tui
redox-os,redox,14400,https://github.com/redox-os/redox
uutils,coreutils,14300,https://github.com/uutils/coreutils
