username,repo_name,stars_count,repo_url
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
apache,spark,35400,https://github.com/apache/spark
pingcap,tidb,33700,https://github.com/pingcap/tidb
dbeaver,dbeaver,31300,https://github.com/dbeaver/dbeaver
ClickHouse,ClickHouse,27800,https://github.com/ClickHouse/ClickHouse
sequelize,sequelize,27700,https://github.com/sequelize/sequelize
cockroachdb,cockroach,26900,https://github.com/cockroachdb/cockroach
taosdata,TDengine,21100,https://github.com/taosdata/TDengine
apache,flink,21000,https://github.com/apache/flink
directus,directus,20800,https://github.com/directus/directus
PostgREST,postgrest,20300,https://github.com/PostgREST/postgrest
osquery,osquery,20200,https://github.com/osquery/osquery
surrealdb,surrealdb,19200,https://github.com/surrealdb/surrealdb
mybatis,mybatis-3,18300,https://github.com/mybatis/mybatis-3
apache,shardingsphere,18200,https://github.com/apache/shardingsphere
knex,knex,17400,https://github.com/knex/knex
DapperLib,Dapper,16000,https://github.com/DapperLib/Dapper
cube-js,cube,14800,https://github.com/cube-js/cube
timescale,timescaledb,14800,https://github.com/timescale/timescaledb
prestodb,presto,14600,https://github.com/prestodb/presto
dolthub,dolt,14500,https://github.com/dolthub/dolt
rqlite,rqlite,13400,https://github.com/rqlite/rqlite
go-sql-driver,mysql,13200,https://github.com/go-sql-driver/mysql
beekeeper-studio,beekeeper-studio,12700,https://github.com/beekeeper-studio/beekeeper-studio
bitwarden,server,12200,https://github.com/bitwarden/server
forthespada,CS-Books,12200,https://github.com/forthespada/CS-Books
sql-js,sql.js,11200,https://github.com/sql-js/sql.js
golang-migrate,migrate,11100,https://github.com/golang-migrate/migrate
questdb,questdb,10800,https://github.com/questdb/questdb
gyoogle,tech-interview-for-developer,10100,https://github.com/gyoogle/tech-interview-for-developer
harelba,q,9800,https://github.com/harelba/q
tiangolo,sqlmodel,9700,https://github.com/tiangolo/sqlmodel
duckdb,duckdb,9400,https://github.com/duckdb/duckdb
AkashSingh3031,The-Complete-FAANG-Preparation,8900,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
modin-project,modin,8500,https://github.com/modin-project/modin
launchbadge,sqlx,8400,https://github.com/launchbadge/sqlx
XiaoMi,soar,8300,https://github.com/XiaoMi/soar
citusdata,citus,8200,https://github.com/citusdata/citus
codenotary,immudb,8100,https://github.com/codenotary/immudb
xo,usql,7900,https://github.com/xo/usql
