username,repo_name,stars_count,repo_url
twbs,bootstrap,163000,https://github.com/twbs/bootstrap
bailicangdu,vue2-elm,39900,https://github.com/bailicangdu/vue2-elm
tabler,tabler,33600,https://github.com/tabler/tabler
IanLunn,Hover,28300,https://github.com/IanLunn/Hover
akveo,ngx-admin,24400,https://github.com/akveo/ngx-admin
palantir,blueprint,19700,https://github.com/palantir/blueprint
chatwoot,chatwoot,14900,https://github.com/chatwoot/chatwoot
primer,css,11900,https://github.com/primer/css
thoughtbot,bourbon,9100,https://github.com/thoughtbot/bourbon
akveo,nebular,7800,https://github.com/akveo/nebular
pahen,madge,7200,https://github.com/pahen/madge
jonsuh,hamburgers,6900,https://github.com/jonsuh/hamburgers
linkedin,css-blocks,6300,https://github.com/linkedin/css-blocks
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
elastic,eui,5700,https://github.com/elastic/eui
maximegris,angular-electron,5300,https://github.com/maximegris/angular-electron
kazzkiq,balloon.css,5000,https://github.com/kazzkiq/balloon.css
elrumordelaluz,csshake,4800,https://github.com/elrumordelaluz/csshake
thoughtbot,neat,4500,https://github.com/thoughtbot/neat
RyanFitzgerald,devportfolio,4000,https://github.com/RyanFitzgerald/devportfolio
webpack-contrib,sass-loader,3800,https://github.com/webpack-contrib/sass-loader
fontsource,fontsource,3600,https://github.com/fontsource/fontsource
sass,dart-sass,3500,https://github.com/sass/dart-sass
diffplug,spotless,3400,https://github.com/diffplug/spotless
KittyGiraudel,sass-boilerplate,3200,https://github.com/KittyGiraudel/sass-boilerplate
twbs,rfs,3100,https://github.com/twbs/rfs
mojotech,jeet,3000,https://github.com/mojotech/jeet
Chalarangelo,mini.css,2900,https://github.com/Chalarangelo/mini.css
modularcode,modular-admin-html,2900,https://github.com/modularcode/modular-admin-html
matejlatin,Gutenberg,2800,https://github.com/matejlatin/Gutenberg
olefredrik,FoundationPress,2700,https://github.com/olefredrik/FoundationPress
rammcodes,Dopefolio,2700,https://github.com/rammcodes/Dopefolio
nas5w,100-days-of-code-frontend,2600,https://github.com/nas5w/100-days-of-code-frontend
smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
eduardoboucas,include-media,2500,https://github.com/eduardoboucas/include-media
sunniejs,vue-h5-template,2500,https://github.com/sunniejs/vue-h5-template
RainManGO,vue3-composition-admin,2500,https://github.com/RainManGO/vue3-composition-admin
thedodd,trunk,2400,https://github.com/thedodd/trunk
ethantw,Han,2300,https://github.com/ethantw/Han
LukyVj,family.scss,2300,https://github.com/LukyVj/family.scss
