username,repo_name,stars_count,repo_url
airbnb,react-sketchapp,15000,https://github.com/airbnb/react-sketchapp
gztchan,awesome-design,14500,https://github.com/gztchan/awesome-design
tldraw,tldraw,12900,https://github.com/tldraw/tldraw
casesandberg,react-color,11300,https://github.com/casesandberg/react-color
themerdev,themer,5100,https://github.com/themerdev/themer
sketchplugins,plugin-directory,3400,https://github.com/sketchplugins/plugin-directory
weui,weui-design,2800,https://github.com/weui/weui-design
weixin,Miaow,2500,https://github.com/weixin/Miaow
mathieudutour,git-sketch-plugin,2500,https://github.com/mathieudutour/git-sketch-plugin
matt-curtis,Fluid-for-Sketch,2400,https://github.com/matt-curtis/Fluid-for-Sketch
andrewfiorillo,sketch-palettes,2300,https://github.com/andrewfiorillo/sketch-palettes
DWilliames,paddy-sketch-plugin,2200,https://github.com/DWilliames/paddy-sketch-plugin
ajstarks,svgo,2000,https://github.com/ajstarks/svgo
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
html-sketchapp,html-sketchapp,1800,https://github.com/html-sketchapp/html-sketchapp
Mukosame,Anime2Sketch,1700,https://github.com/Mukosame/Anime2Sketch
dataliterate,data-populator,1700,https://github.com/dataliterate/data-populator
kactus-io,kactus,1500,https://github.com/kactus-io/kactus
vydd,sketch,1300,https://github.com/vydd/sketch
carbon-design-system,carbon-design-kit,1000,https://github.com/carbon-design-system/carbon-design-kit
ment-mx,Prism,1000,https://github.com/ment-mx/Prism
stephenway,sketch-foundation-kit,1000,https://github.com/stephenway/sketch-foundation-kit
wuba,Picasso,968,https://github.com/wuba/Picasso
MohamedYoussouf,Design-Resources,962,https://github.com/MohamedYoussouf/Design-Resources
skpm,skpm,949,https://github.com/skpm/skpm
zddhub,opensse,940,https://github.com/zddhub/opensse
Ashung,Automate-Sketch,925,https://github.com/Ashung/Automate-Sketch
AnimaApp,sketch-web-viewer,880,https://github.com/AnimaApp/sketch-web-viewer
AMoreaux,Sketch-Icons,876,https://github.com/AMoreaux/Sketch-Icons
sonburn,symbol-organizer,841,https://github.com/sonburn/symbol-organizer
sketch-hq,SketchAPI,837,https://github.com/sketch-hq/SketchAPI
bomberstudios,sketch-commands,828,https://github.com/bomberstudios/sketch-commands
ruedap,alfred-font-awesome-workflow,802,https://github.com/ruedap/alfred-font-awesome-workflow
thierryc,Sketch-Find-And-Replace,712,https://github.com/thierryc/Sketch-Find-And-Replace
bobbens,sketch_simplification,672,https://github.com/bobbens/sketch_simplification
allenwong,MakeIconsWithSketch,659,https://github.com/allenwong/MakeIconsWithSketch
jgrancher,react-native-sketch,647,https://github.com/jgrancher/react-native-sketch
seek-oss,html-sketchapp-cli,633,https://github.com/seek-oss/html-sketchapp-cli
tbolis,react-sketch,607,https://github.com/tbolis/react-sketch
alexkaessner,macOS-UI-Kit,602,https://github.com/alexkaessner/macOS-UI-Kit
