username,repo_name,stars_count,repo_url
zerotier,ZeroTierOne,10700,https://github.com/zerotier/ZeroTierOne
mininet,mininet,4800,https://github.com/mininet/mininet
kubeovn,kube-ovn,1500,https://github.com/kubeovn/kube-ovn
feiskyer,sdn-handbook,1200,https://github.com/feiskyer/sdn-handbook
sdnds-tw,awesome-sdn,1200,https://github.com/sdnds-tw/awesome-sdn
ansyun,dpdk-ans,1100,https://github.com/ansyun/dpdk-ans
tonydeng,sdn-handbook,1000,https://github.com/tonydeng/sdn-handbook
dec0dOS,zero-ui,586,https://github.com/dec0dOS/zero-ui
faucetsdn,faucet,481,https://github.com/faucetsdn/faucet
FabEdge,fabedge,475,https://github.com/FabEdge/fabedge
IQTLabs,poseidon,380,https://github.com/IQTLabs/poseidon
YanHaoChen,Learning-SDN,336,https://github.com/YanHaoChen/Learning-SDN
bregman-arie,computer-networking,332,https://github.com/bregman-arie/computer-networking
stratum,stratum,317,https://github.com/stratum/stratum
CPqD,ofsoftswitch13,289,https://github.com/CPqD/ofsoftswitch13
vedetta-com,vedetta,285,https://github.com/vedetta-com/vedetta
KatharaFramework,Kathara,278,https://github.com/KatharaFramework/Kathara
smartbgp,yabgp,217,https://github.com/smartbgp/yabgp
husarnet,husarnet,213,https://github.com/husarnet/husarnet
knowledgedefinednetworking,a-deep-rl-approach-for-sdn-routing-optimization,205,https://github.com/knowledgedefinednetworking/a-deep-rl-approach-for-sdn-routing-optimization
alibaba,hybridnet,185,https://github.com/alibaba/hybridnet
zyclonite,zerotier-docker,180,https://github.com/zyclonite/zerotier-docker
asavie,xdp,170,https://github.com/asavie/xdp
sdnewhop,sdwannewhope,166,https://github.com/sdnewhop/sdwannewhope
jwhited,corebgp,166,https://github.com/jwhited/corebgp
tbarbette,fastclick,154,https://github.com/tbarbette/fastclick
cormacrelf,terraform-provider-zerotier,130,https://github.com/cormacrelf/terraform-provider-zerotier
superkkt,cherry,122,https://github.com/superkkt/cherry
anuket-project,anuket-specifications,119,https://github.com/anuket-project/anuket-specifications
PANTHEONtech,lighty,109,https://github.com/PANTHEONtech/lighty
aregm,nff-go-nat,106,https://github.com/aregm/nff-go-nat
cloud-native-taiwan,meetups,99,https://github.com/cloud-native-taiwan/meetups
nayanseth,sdn-loadbalancing,91,https://github.com/nayanseth/sdn-loadbalancing
CiscoDevNet,pathman-sr,84,https://github.com/CiscoDevNet/pathman-sr
Ehsan70,RyuApps,79,https://github.com/Ehsan70/RyuApps
nknorg,nconnect,79,https://github.com/nknorg/nconnect
netrack,openflow,76,https://github.com/netrack/openflow
medianetlab,katana-slice_manager,75,https://github.com/medianetlab/katana-slice_manager
Cloudslab,cloudsimsdn,73,https://github.com/Cloudslab/cloudsimsdn
seungsoo-lee,DELTA,72,https://github.com/seungsoo-lee/DELTA
