username,repo_name,stars_count,repo_url
SpaceVim,SpaceVim,19700,https://github.com/SpaceVim/SpaceVim
wsdjeg,vim-galore-zh_cn,9600,https://github.com/wsdjeg/vim-galore-zh_cn
wsdjeg,.SpaceVim.d,1400,https://github.com/wsdjeg/.SpaceVim.d
wsdjeg,vim-chat,510,https://github.com/wsdjeg/vim-chat
Gabirel,Hack-SpaceVim,447,https://github.com/Gabirel/Hack-SpaceVim
ctjhoa,spacevim,367,https://github.com/ctjhoa/spacevim
wsdjeg,FlyGrep.vim,296,https://github.com/wsdjeg/FlyGrep.vim
wsdjeg,GitHub.vim,194,https://github.com/wsdjeg/GitHub.vim
wsdjeg,JavaUnit.vim,108,https://github.com/wsdjeg/JavaUnit.vim
wsdjeg,imenu.vim,100,https://github.com/wsdjeg/imenu.vim
wsdjeg,job.vim,92,https://github.com/wsdjeg/job.vim
SpaceVim,vim-markdown,75,https://github.com/SpaceVim/vim-markdown
prontera,ideavimrc,75,https://github.com/prontera/ideavimrc
mrbeardad,SpaceVim,72,https://github.com/mrbeardad/SpaceVim
SpaceVim,gtags.vim,71,https://github.com/SpaceVim/gtags.vim
SpaceVim,cscope.vim,67,https://github.com/SpaceVim/cscope.vim
Tehnix,spaceneovim-layers,40,https://github.com/Tehnix/spaceneovim-layers
everettjf,SpaceVimTutorial,13,https://github.com/everettjf/SpaceVimTutorial
lucasprag,vimlociraptor,13,https://github.com/lucasprag/vimlociraptor
wsdjeg,vim-pact,10,https://github.com/wsdjeg/vim-pact
techgaun,dotfiles,10,https://github.com/techgaun/dotfiles
wsdjeg,vim-fuzzy,9,https://github.com/wsdjeg/vim-fuzzy
Axect,Socialst,9,https://github.com/Axect/Socialst
SpaceVim,SpaceVim-theme,8,https://github.com/SpaceVim/SpaceVim-theme
chrisenytc,spacevim,7,https://github.com/chrisenytc/spacevim
wsdjeg,vim-nim,7,https://github.com/wsdjeg/vim-nim
SpaceVim,unite-ctags,4,https://github.com/SpaceVim/unite-ctags
CaioCDJ,SpaceVim-Config,4,https://github.com/CaioCDJ/SpaceVim-Config
jgonsior,dotfiles,4,https://github.com/jgonsior/dotfiles
VarunBatraIT,SpaceBox,4,https://github.com/VarunBatraIT/SpaceBox
jackm245,IceVim,3,https://github.com/jackm245/IceVim
paddyredbeard,SpaceVim.d,3,https://github.com/paddyredbeard/SpaceVim.d
wsdjeg,Chatting-server,3,https://github.com/wsdjeg/Chatting-server
darxkies,dev-in-a-box,3,https://github.com/darxkies/dev-in-a-box
Fetz,dotfiles,3,https://github.com/Fetz/dotfiles
strazto,dotfiles,3,https://github.com/strazto/dotfiles
xendarboh,xendev,3,https://github.com/xendarboh/xendev
wsdjeg,nim-example,3,https://github.com/wsdjeg/nim-example
christianharke,spacevim-flake,3,https://github.com/christianharke/spacevim-flake
andrewmcodes,dotfiles,3,https://github.com/andrewmcodes/dotfiles
