username,repo_name,stars_count,repo_url
spring-projects,spring-boot,66400,https://github.com/spring-projects/spring-boot
macrozheng,mall,64500,https://github.com/macrozheng/mall
jeecgboot,jeecg-boot,34100,https://github.com/jeecgboot/jeecg-boot
xkcoding,spring-boot-demo,29100,https://github.com/xkcoding/spring-boot-demo
ityouknow,spring-boot-examples,28700,https://github.com/ityouknow/spring-boot-examples
apolloconfig,apollo,27900,https://github.com/apolloconfig/apollo
wuyouzhuguli,SpringAll,25300,https://github.com/wuyouzhuguli/SpringAll
jhipster,generator-jhipster,20400,https://github.com/jhipster/generator-jhipster
elunez,eladmin,19500,https://github.com/elunez/eladmin
linlinjava,litemall,17900,https://github.com/linlinjava/litemall
forezp,SpringCloudLearning,17200,https://github.com/forezp/SpringCloudLearning
yudaocode,SpringBoot-Labs,16400,https://github.com/yudaocode/SpringBoot-Labs
dyc87112,SpringBoot-Learning,15100,https://github.com/dyc87112/SpringBoot-Learning
chuzhixin,vue-admin-better,13900,https://github.com/chuzhixin/vue-admin-better
sqshq,piggymetrics,12300,https://github.com/sqshq/piggymetrics
codecentric,spring-boot-admin,11600,https://github.com/codecentric/spring-boot-admin
apereo,cas,10100,https://github.com/apereo/cas
newbee-ltd,newbee-mall,9900,https://github.com/newbee-ltd/newbee-mall
lihengming,spring-boot-api-project-seed,9300,https://github.com/lihengming/spring-boot-api-project-seed
Netflix,conductor,8400,https://github.com/Netflix/conductor
hs-web,hsweb-framework,8000,https://github.com/hs-web/hsweb-framework
zfile-dev,zfile,7100,https://github.com/zfile-dev/zfile
dyc87112,SpringCloud-Learning,7100,https://github.com/dyc87112/SpringCloud-Learning
wxiaoqi,Spring-Cloud-Platform,6000,https://github.com/wxiaoqi/Spring-Cloud-Platform
ityouknow,spring-cloud-examples,6000,https://github.com/ityouknow/spring-cloud-examples
springfox,springfox,5800,https://github.com/springfox/springfox
itwanger,JavaBooks,5200,https://github.com/itwanger/JavaBooks
newbee-ltd,newbee-mall-vue3-app,4800,https://github.com/newbee-ltd/newbee-mall-vue3-app
spring-cloud,spring-cloud-netflix,4700,https://github.com/spring-cloud/spring-cloud-netflix
cloudfavorites,favorites-web,4700,https://github.com/cloudfavorites/favorites-web
ZHENFENG13,spring-boot-projects,4600,https://github.com/ZHENFENG13/spring-boot-projects
pig-mesh,pig,4600,https://github.com/pig-mesh/pig
hansonwang99,Spring-Boot-In-Action,4500,https://github.com/hansonwang99/Spring-Boot-In-Action
ityouknow,awesome-spring-boot,4100,https://github.com/ityouknow/awesome-spring-boot
zlt2000,microservices-platform,4000,https://github.com/zlt2000/microservices-platform
spring-cloud,spring-cloud-gateway,3900,https://github.com/spring-cloud/spring-cloud-gateway
baomidou,dynamic-datasource-spring-boot-starter,3900,https://github.com/baomidou/dynamic-datasource-spring-boot-starter
mybatis,spring-boot-starter,3800,https://github.com/mybatis/spring-boot-starter
Yin-Hongwei,music-website,3700,https://github.com/Yin-Hongwei/music-website
jetlinks,jetlinks-community,3700,https://github.com/jetlinks/jetlinks-community
