username,repo_name,stars_count,repo_url
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
nrwl,nx,17100,https://github.com/nrwl/nx
diegohaz,arc,2900,https://github.com/diegohaz/arc
vuesion,vuesion,2700,https://github.com/vuesion/vuesion
chromaui,learnstorybook.com,2400,https://github.com/chromaui/learnstorybook.com
React95,React95,2300,https://github.com/React95/React95
BuilderIO,figma-html,2200,https://github.com/BuilderIO/figma-html
trungk18,jira-clone-angular,2000,https://github.com/trungk18/jira-clone-angular
AdaptiveConsulting,ReactiveTraderCloud,1800,https://github.com/AdaptiveConsulting/ReactiveTraderCloud
danilowoz,react-atomic-design,1600,https://github.com/danilowoz/react-atomic-design
oblador,loki,1600,https://github.com/oblador/loki
pankod,next-boilerplate,1500,https://github.com/pankod/next-boilerplate
jj811208,watching-you,1400,https://github.com/jj811208/watching-you
ifmeorg,ifme,1400,https://github.com/ifmeorg/ifme
NiGhTTraX,ts-monorepo,1200,https://github.com/NiGhTTraX/ts-monorepo
TowhidKashem,snapchat-clone,981,https://github.com/TowhidKashem/snapchat-clone
vue-play,vue-play,977,https://github.com/vue-play/vue-play
themesberg,flowbite-react,884,https://github.com/themesberg/flowbite-react
storybook-eol,storybook-deployer,881,https://github.com/storybook-eol/storybook-deployer
lost-pixel,lost-pixel,877,https://github.com/lost-pixel/lost-pixel
open-sauced,open-sauced,858,https://github.com/open-sauced/open-sauced
aeksco,react-typescript-web-extension-starter,773,https://github.com/aeksco/react-typescript-web-extension-starter
storybookjs,addon-designs,752,https://github.com/storybookjs/addon-designs
HarveyD,react-component-library,742,https://github.com/HarveyD/react-component-library
storybookjs,react-native,727,https://github.com/storybookjs/react-native
DTStack,molecule,680,https://github.com/DTStack/molecule
BearStudio,start-ui-web,680,https://github.com/BearStudio/start-ui-web
WebDevStudios,nextjs-wordpress-starter,654,https://github.com/WebDevStudios/nextjs-wordpress-starter
salihozdemir,stackoverflow-clone,619,https://github.com/salihozdemir/stackoverflow-clone
ComponentDriven,componentdriven.org,613,https://github.com/ComponentDriven/componentdriven.org
reg-viz,storycap,607,https://github.com/reg-viz/storycap
storybookjs,testing-react,581,https://github.com/storybookjs/testing-react
storybook-eol,react-cdk,580,https://github.com/storybook-eol/react-cdk
react-theming,storybook-addon-material-ui,566,https://github.com/react-theming/storybook-addon-material-ui
UX-and-I,storybook-design-token,554,https://github.com/UX-and-I/storybook-design-token
klaufel,awesome-design-systems,554,https://github.com/klaufel/awesome-design-systems
tuchk4,storybook-readme,540,https://github.com/tuchk4/storybook-readme
rcdexta,react-event-timeline,531,https://github.com/rcdexta/react-event-timeline
silviopaganini,nft-market,516,https://github.com/silviopaganini/nft-market
MarceauKa,shaark,514,https://github.com/MarceauKa/shaark
