username,repo_name,stars_count,repo_url
frappe,erpnext,13100,https://github.com/frappe/erpnext
zammad,zammad,3300,https://github.com/zammad/zammad
helpyio,helpy,2300,https://github.com/helpyio/helpy
freescout-helpdesk,freescout,1900,https://github.com/freescout-helpdesk/freescout
django-helpdesk,django-helpdesk,1400,https://github.com/django-helpdesk/django-helpdesk
mattmezza,vue-beautiful-chat,1300,https://github.com/mattmezza/vue-beautiful-chat
BadChoice,handesk,1300,https://github.com/BadChoice/handesk
espocrm,espocrm,1100,https://github.com/espocrm/espocrm
polonel,trudesk,999,https://github.com/polonel/trudesk
opensupports,opensupports,780,https://github.com/opensupports/opensupports
bestpractical,rt,727,https://github.com/bestpractical/rt
rocketshipapps,adblockfast,685,https://github.com/rocketshipapps/adblockfast
fateshen,iOSDeviceSupport,359,https://github.com/fateshen/iOSDeviceSupport
blakmatrix,node-zendesk,320,https://github.com/blakmatrix/node-zendesk
spatie,laravel-support-bubble,294,https://github.com/spatie/laravel-support-bubble
system76,docs,287,https://github.com/system76/docs
pranavpandey,dynamic-support,256,https://github.com/pranavpandey/dynamic-support
devaslanphp,project-management,253,https://github.com/devaslanphp/project-management
slowtec,tokio-modbus,249,https://github.com/slowtec/tokio-modbus
ohld,telegram-support-bot,222,https://github.com/ohld/telegram-support-bot
znuny,Znuny,208,https://github.com/znuny/Znuny
BlitzKraig,AndroidResizer,196,https://github.com/BlitzKraig/AndroidResizer
novosga,novosga,193,https://github.com/novosga/novosga
ARCANEDEV,Support,184,https://github.com/ARCANEDEV/Support
eventum,eventum,155,https://github.com/eventum/eventum
cybercussion,SCOBot,150,https://github.com/cybercussion/SCOBot
follow-github-organisation,follow-github-organisation,144,https://github.com/follow-github-organisation/follow-github-organisation
aheze,SupportDocs,143,https://github.com/aheze/SupportDocs
mvpstack,helpin,138,https://github.com/mvpstack/helpin
taskrabbit,react-native-zendesk-chat,119,https://github.com/taskrabbit/react-native-zendesk-chat
TheAlgorithms,.github,115,https://github.com/TheAlgorithms/.github
RetGal,Dayon,114,https://github.com/RetGal/Dayon
1C-Company,1c-edt-issues,112,https://github.com/1C-Company/1c-edt-issues
php-kchat,kchat,104,https://github.com/php-kchat/kchat
risuorg,risu,97,https://github.com/risuorg/risu
yii2tech,selfupdate,92,https://github.com/yii2tech/selfupdate
hgonzago,DevSummit-presentations,81,https://github.com/hgonzago/DevSummit-presentations
wessberg,browserslist-generator,78,https://github.com/wessberg/browserslist-generator
FusionAuth,fusionauth-issues,77,https://github.com/FusionAuth/fusionauth-issues
abobija,idfx,77,https://github.com/abobija/idfx
