username,repo_name,stars_count,repo_url
tensorflow,tensorflow,173000,https://github.com/tensorflow/tensorflow
huggingface,transformers,89300,https://github.com/huggingface/transformers
keras-team,keras,57800,https://github.com/keras-team/keras
aymericdamien,TensorFlow-Examples,42700,https://github.com/aymericdamien/TensorFlow-Examples
CorentinJ,Real-Time-Voice-Cloning,40600,https://github.com/CorentinJ/Real-Time-Voice-Cloning
google-research,bert,33700,https://github.com/google-research/bert
xitu,gold-miner,32100,https://github.com/xitu/gold-miner
photoprism,photoprism,25400,https://github.com/photoprism/photoprism
ageron,handson-ml,25000,https://github.com/ageron/handson-ml
ray-project,ray,24900,https://github.com/ray-project/ray
donnemartin,data-science-ipython-notebooks,24800,https://github.com/donnemartin/data-science-ipython-notebooks
matterport,Mask_RCNN,22900,https://github.com/matterport/Mask_RCNN
deezer,spleeter,22100,https://github.com/deezer/spleeter
lutzroeder,netron,21800,https://github.com/lutzroeder/netron
mozilla,DeepSpeech,21500,https://github.com/mozilla/DeepSpeech
MLEveryday,100-Days-Of-ML-Code,19600,https://github.com/MLEveryday/100-Days-Of-ML-Code
d2l-ai,d2l-en,17200,https://github.com/d2l-ai/d2l-en
Tencent,ncnn,16800,https://github.com/Tencent/ncnn
instillai,TensorFlow-Course,16300,https://github.com/instillai/TensorFlow-Course
huggingface,datasets,15700,https://github.com/huggingface/datasets
justadudewhohacks,face-api.js,14900,https://github.com/justadudewhohacks/face-api.js
onnx,onnx,14400,https://github.com/onnx/onnx
virgili0,Virgilio,13400,https://github.com/virgili0/Virgilio
ml-tooling,best-of-ml-python,13200,https://github.com/ml-tooling/best-of-ml-python
horovod,horovod,13200,https://github.com/horovod/horovod
davidsandberg,facenet,13000,https://github.com/davidsandberg/facenet
dragen1860,Deep-Learning-with-TensorFlow-book,12900,https://github.com/dragen1860/Deep-Learning-with-TensorFlow-book
microsoft,nni,12700,https://github.com/microsoft/nni
kubeflow,kubeflow,12400,https://github.com/kubeflow/kubeflow
graykode,nlp-tutorial,12300,https://github.com/graykode/nlp-tutorial
NVIDIA,DeepLearningExamples,10600,https://github.com/NVIDIA/DeepLearningExamples
MorvanZhou,tutorials,10600,https://github.com/MorvanZhou/tutorials
chiphuyen,stanford-tensorflow-tutorials,10200,https://github.com/chiphuyen/stanford-tensorflow-tutorials
google,dopamine,10100,https://github.com/google/dopamine
vipstone,faceai,10000,https://github.com/vipstone/faceai
unifyai,ivy,10000,https://github.com/unifyai/ivy
Mikoto10032,DeepLearning,9800,https://github.com/Mikoto10032/DeepLearning
lyhue1991,eat_tensorflow2_in_30_days,9700,https://github.com/lyhue1991/eat_tensorflow2_in_30_days
tflearn,tflearn,9600,https://github.com/tflearn/tflearn
lexfridman,mit-deep-learning,9600,https://github.com/lexfridman/mit-deep-learning
