username,repo_name,stars_count,repo_url
bregman-arie,devops-exercises,41900,https://github.com/bregman-arie/devops-exercises
hashicorp,terraform,36800,https://github.com/hashicorp/terraform
MichaelCade,90DaysOfDevOps,22200,https://github.com/MichaelCade/90DaysOfDevOps
GoogleCloudPlatform,microservices-demo,13900,https://github.com/GoogleCloudPlatform/microservices-demo
GoogleCloudPlatform,terraformer,9900,https://github.com/GoogleCloudPlatform/terraformer
infracost,infracost,8900,https://github.com/infracost/infracost
hashicorp,terraform-provider-aws,8400,https://github.com/hashicorp/terraform-provider-aws
gruntwork-io,terratest,6800,https://github.com/gruntwork-io/terratest
khuedoan,homelab,6700,https://github.com/khuedoan/homelab
gruntwork-io,terragrunt,6700,https://github.com/gruntwork-io/terragrunt
runatlantis,atlantis,6000,https://github.com/runatlantis/atlantis
aquasecurity,tfsec,5700,https://github.com/aquasecurity/tfsec
budtmo,docker-android,5500,https://github.com/budtmo/docker-android
bridgecrewio,checkov,5400,https://github.com/bridgecrewio/checkov
hobby-kube,guide,5400,https://github.com/hobby-kube/guide
turbot,steampipe,5000,https://github.com/turbot/steampipe
KubeOperator,KubeOperator,4600,https://github.com/KubeOperator/KubeOperator
dtan4,terraforming,4300,https://github.com/dtan4/terraforming
hashicorp,terraform-cdk,4300,https://github.com/hashicorp/terraform-cdk
shuaibiyy,awesome-terraform,4200,https://github.com/shuaibiyy/awesome-terraform
clong,DetectionLab,4100,https://github.com/clong/DetectionLab
ThreeDotsLabs,wild-workouts-go-ddd-example,4000,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
tenable,terrascan,4000,https://github.com/tenable/terrascan
coder,coder,4000,https://github.com/coder/coder
hashicorp,terraform-provider-azurerm,3900,https://github.com/hashicorp/terraform-provider-azurerm
terraform-linters,tflint,3800,https://github.com/terraform-linters/tflint
kriasoft,relay-starter-kit,3700,https://github.com/kriasoft/relay-starter-kit
tfutils,tfenv,3700,https://github.com/tfutils/tfenv
terraform-aws-modules,terraform-aws-eks,3400,https://github.com/terraform-aws-modules/terraform-aws-eks
terraform-docs,terraform-docs,3400,https://github.com/terraform-docs/terraform-docs
dependabot,dependabot-core,3300,https://github.com/dependabot/dependabot-core
thangchung,go-coffeeshop,3300,https://github.com/thangchung/go-coffeeshop
airbnb,streamalert,2800,https://github.com/airbnb/streamalert
im2nguyen,rover,2500,https://github.com/im2nguyen/rover
antonbabenko,pre-commit-terraform,2400,https://github.com/antonbabenko/pre-commit-terraform
brikis98,terraform-up-and-running-code,2400,https://github.com/brikis98/terraform-up-and-running-code
snyk,driftctl,2200,https://github.com/snyk/driftctl
Artemmkin,infrastructure-as-code-tutorial,2100,https://github.com/Artemmkin/infrastructure-as-code-tutorial
gofireflyio,aiac,2100,https://github.com/gofireflyio/aiac
hashicorp,terraform-provider-google,2000,https://github.com/hashicorp/terraform-provider-google
