username,repo_name,stars_count,repo_url
JuliaLang,julia,42000,https://github.com/JuliaLang/julia
plotly,dash,18400,https://github.com/plotly/dash
nteract,papermill,5200,https://github.com/nteract/papermill
fonsp,Pluto.jl,4400,https://github.com/fonsp/Pluto.jl
multiprocessio,datastation,2700,https://github.com/multiprocessio/datastation
SciML,DifferentialEquations.jl,2500,https://github.com/SciML/DifferentialEquations.jl
szcf-weiya,ESL-CN,2200,https://github.com/szcf-weiya/ESL-CN
grame-cncm,faust,2100,https://github.com/grame-cncm/faust
GenieFramework,Genie.jl,2000,https://github.com/GenieFramework/Genie.jl
jump-dev,JuMP.jl,1900,https://github.com/jump-dev/JuMP.jl
MakieOrg,Makie.jl,1900,https://github.com/MakieOrg/Makie.jl
GiovineItalia,Gadfly.jl,1800,https://github.com/GiovineItalia/Gadfly.jl
JuliaPlots,Plots.jl,1700,https://github.com/JuliaPlots/Plots.jl
alan-turing-institute,MLJ.jl,1600,https://github.com/alan-turing-institute/MLJ.jl
JuliaData,DataFrames.jl,1600,https://github.com/JuliaData/DataFrames.jl
denizyuret,Knet.jl,1400,https://github.com/denizyuret/Knet.jl
FluxML,Zygote.jl,1300,https://github.com/FluxML/Zygote.jl
JuliaPy,PyCall.jl,1300,https://github.com/JuliaPy/PyCall.jl
svaksha,Julia.jl,1300,https://github.com/svaksha/Julia.jl
JuliaLang,PackageCompiler.jl,1300,https://github.com/JuliaLang/PackageCompiler.jl
mossr,BeautifulAlgorithms.jl,1200,https://github.com/mossr/BeautifulAlgorithms.jl
julia-vscode,julia-vscode,1200,https://github.com/julia-vscode/julia-vscode
SciML,ModelingToolkit.jl,1200,https://github.com/SciML/ModelingToolkit.jl
cormullion,juliamono,1100,https://github.com/cormullion/juliamono
jonathan-laurent,AlphaZero.jl,1100,https://github.com/jonathan-laurent/AlphaZero.jl
JuliaAcademy,JuliaTutorials,1100,https://github.com/JuliaAcademy/JuliaTutorials
pptacher,probabilistic_robotics,1100,https://github.com/pptacher/probabilistic_robotics
MilesCranmer,PySR,1000,https://github.com/MilesCranmer/PySR
sagemathinc,cocalc,1000,https://github.com/sagemathinc/cocalc
JuliaPlots,UnicodePlots.jl,1000,https://github.com/JuliaPlots/UnicodePlots.jl
h-Klok,StatsWithJuliaBook,1000,https://github.com/h-Klok/StatsWithJuliaBook
JuliaStats,Distributions.jl,976,https://github.com/JuliaStats/Distributions.jl
facultyai,dash-bootstrap-components,963,https://github.com/facultyai/dash-bootstrap-components
JuliaNLSolvers,Optim.jl,940,https://github.com/JuliaNLSolvers/Optim.jl
JuliaGPU,CUDA.jl,935,https://github.com/JuliaGPU/CUDA.jl
malmaud,TensorFlow.jl,867,https://github.com/malmaud/TensorFlow.jl
FluxML,model-zoo,820,https://github.com/FluxML/model-zoo
drujensen,fib,809,https://github.com/drujensen/fib
CliMA,Oceananigans.jl,771,https://github.com/CliMA/Oceananigans.jl
JuliaDiff,ForwardDiff.jl,768,https://github.com/JuliaDiff/ForwardDiff.jl
