username,repo_name,stars_count,repo_url
microsoft,vscode,144000,https://github.com/microsoft/vscode
microsoft,TypeScript,90000,https://github.com/microsoft/TypeScript
denoland,deno,88800,https://github.com/denoland/deno
angular,angular,87200,https://github.com/angular/angular
mui,material-ui,85500,https://github.com/mui/material-ui
ant-design,ant-design,85200,https://github.com/ant-design/ant-design
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
mermaid-js,mermaid,56000,https://github.com/mermaid-js/mermaid
nestjs,nest,55600,https://github.com/nestjs/nest
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
prettier,prettier,45200,https://github.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,43400,https://github.com/DefinitelyTyped/DefinitelyTyped
oven-sh,bun,40300,https://github.com/oven-sh/bun
typescript-cheatsheets,react,40300,https://github.com/typescript-cheatsheets/react
vuetifyjs,vuetify,36800,https://github.com/vuetifyjs/vuetify
evanw,esbuild,35000,https://github.com/evanw/esbuild
Asabeneh,30-Days-Of-JavaScript,34700,https://github.com/Asabeneh/30-Days-Of-JavaScript
react-hook-form,react-hook-form,34100,https://github.com/react-hook-form/react-hook-form
microsoft,monaco-editor,33500,https://github.com/microsoft/monaco-editor
NervJS,taro,32600,https://github.com/NervJS/taro
type-challenges,type-challenges,32000,https://github.com/type-challenges/type-challenges
typeorm,typeorm,30900,https://github.com/typeorm/typeorm
prisma,prisma,30200,https://github.com/prisma/prisma
n8n-io,n8n,29200,https://github.com/n8n-io/n8n
sequelize,sequelize,27700,https://github.com/sequelize/sequelize
swc-project,swc,26800,https://github.com/swc-project/swc
mobxjs,mobx,26300,https://github.com/mobxjs/mobx
angular,angular-cli,26000,https://github.com/angular/angular-cli
appsmithorg,appsmith,25900,https://github.com/appsmithorg/appsmith
akveo,ngx-admin,24400,https://github.com/akveo/ngx-admin
trpc,trpc,23700,https://github.com/trpc/trpc
statelyai,xstate,23400,https://github.com/statelyai/xstate
rome,tools,23000,https://github.com/rome/tools
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
codex-team,editor.js,22200,https://github.com/codex-team/editor.js
kriasoft,react-starter-kit,21800,https://github.com/kriasoft/react-starter-kit
withfig,autocomplete,21700,https://github.com/withfig/autocomplete
react-bootstrap,react-bootstrap,21600,https://github.com/react-bootstrap/react-bootstrap
electron-react-boilerplate,electron-react-boilerplate,21100,https://github.com/electron-react-boilerplate/electron-react-boilerplate
TanStack,table,21100,https://github.com/TanStack/table
