username,repo_name,stars_count,repo_url
Nyr,openvpn-install,16800,https://github.com/Nyr/openvpn-install
angristan,openvpn-install,9700,https://github.com/angristan/openvpn-install
dnschneid,crouton,8300,https://github.com/dnschneid/crouton
oguzhaninan,Stacer,8300,https://github.com/oguzhaninan/Stacer
judasn,Linux-Tutorial,8000,https://github.com/judasn/Linux-Tutorial
wszqkzqk,deepin-wine-ubuntu,6000,https://github.com/wszqkzqk/deepin-wine-ubuntu
GetPublii,Publii,5400,https://github.com/GetPublii/Publii
adi1090x,rofi,5000,https://github.com/adi1090x/rofi
adi1090x,polybar-themes,4900,https://github.com/adi1090x/polybar-themes
boltgolt,howdy,4600,https://github.com/boltgolt/howdy
89luca89,distrobox,4300,https://github.com/89luca89/distrobox
chef,bento,4000,https://github.com/chef/bento
GopeedLab,gopeed,4000,https://github.com/GopeedLab/gopeed
Gictorbit,photoshopCClinux,3800,https://github.com/Gictorbit/photoshopCClinux
anmoljagetia,Flatabulous,3700,https://github.com/anmoljagetia/Flatabulous
dvorka,hstr,3500,https://github.com/dvorka/hstr
johang,btfs,3100,https://github.com/johang/btfs
Slackadays,Clipboard,3100,https://github.com/Slackadays/Clipboard
Nyr,wireguard-install,2800,https://github.com/Nyr/wireguard-install
armbian,build,2800,https://github.com/armbian/build
wslutilities,wslu,2700,https://github.com/wslutilities/wslu
chaifeng,ufw-docker,2700,https://github.com/chaifeng/ufw-docker
teddysun,lamp,2700,https://github.com/teddysun/lamp
xflux-gui,fluxgui,2700,https://github.com/xflux-gui/fluxgui
archcraft-os,archcraft,2400,https://github.com/archcraft-os/archcraft
davestephens,ansible-nas,2400,https://github.com/davestephens/ansible-nas
aptly-dev,aptly,2300,https://github.com/aptly-dev/aptly
piku,piku,2200,https://github.com/piku/piku
dvorka,mindforger,2000,https://github.com/dvorka/mindforger
jamiemcg,Remarkable,1900,https://github.com/jamiemcg/Remarkable
GhostWriters,DockSTARTer,1900,https://github.com/GhostWriters/DockSTARTer
lakinduakash,linux-wifi-hotspot,1800,https://github.com/lakinduakash/linux-wifi-hotspot
nullpo-head,wsl-distrod,1700,https://github.com/nullpo-head/wsl-distrod
plexguide,PlexGuide.com,1600,https://github.com/plexguide/PlexGuide.com
swizzin,swizzin,1600,https://github.com/swizzin/swizzin
adi1090x,dynamic-wallpaper,1600,https://github.com/adi1090x/dynamic-wallpaper
vinceliuice,vimix-gtk-themes,1600,https://github.com/vinceliuice/vimix-gtk-themes
DamionGans,ubuntu-wsl2-systemd-script,1500,https://github.com/DamionGans/ubuntu-wsl2-systemd-script
VitalElement,AvalonStudio,1400,https://github.com/VitalElement/AvalonStudio
scottslowe,learning-tools,1400,https://github.com/scottslowe/learning-tools
