username,repo_name,stars_count,repo_url
icsharpcode,ILSpy,17400,https://github.com/icsharpcode/ILSpy
lettier,3d-game-shaders-for-beginners,14900,https://github.com/lettier/3d-game-shaders-for-beginners
Unity-Technologies,ml-agents,14400,https://github.com/Unity-Technologies/ml-agents
Perfare,AssetStudio,10600,https://github.com/Perfare/AssetStudio
Tencent,xLua,8300,https://github.com/Tencent/xLua
egametang,ET,6900,https://github.com/egametang/ET
jynew,jynew,6600,https://github.com/jynew/jynew
neuecc,UniRx,6400,https://github.com/neuecc/UniRx
sschmid,Entitas,6200,https://github.com/sschmid/Entitas
microsoft,MixedRealityToolkit-Unity,5700,https://github.com/microsoft/MixedRealityToolkit-Unity
RyanNielson,awesome-unity,5600,https://github.com/RyanNielson/awesome-unity
ThusSpokeNomad,GameNetworkingResources,5500,https://github.com/ThusSpokeNomad/GameNetworkingResources
UnityTechnologies,open-project-1,5200,https://github.com/UnityTechnologies/open-project-1
Cysharp,UniTask,5100,https://github.com/Cysharp/UniTask
Perfare,Il2CppDumper,5000,https://github.com/Perfare/Il2CppDumper
ColinLeung-NiloCat,UnityURPToonLitShaderExample,4600,https://github.com/ColinLeung-NiloCat/UnityURPToonLitShaderExample
michidk,Unity-Script-Collection,4600,https://github.com/michidk/Unity-Script-Collection
neuecc,MessagePack-CSharp,4600,https://github.com/neuecc/MessagePack-CSharp
EllanJiang,GameFramework,4500,https://github.com/EllanJiang/GameFramework
mob-sakai,UIEffect,4400,https://github.com/mob-sakai/UIEffect
marian42,wavefunctioncollapse,4100,https://github.com/marian42/wavefunctioncollapse
MirrorNetworking,Mirror,4000,https://github.com/MirrorNetworking/Mirror
pardeike,Harmony,3900,https://github.com/pardeike/Harmony
anmoljagetia,Flatabulous,3700,https://github.com/anmoljagetia/Flatabulous
Tencent,puerts,3700,https://github.com/Tencent/puerts
ketoo,NoahGameFrame,3700,https://github.com/ketoo/NoahGameFrame
zalo,MathUtilities,3700,https://github.com/zalo/MathUtilities
Unity-Technologies,PostProcessing,3600,https://github.com/Unity-Technologies/PostProcessing
ExtendRealityLtd,VRTK,3600,https://github.com/ExtendRealityLtd/VRTK
simoninithomas,Deep_reinforcement_learning_Course,3600,https://github.com/simoninithomas/Deep_reinforcement_learning_Course
QianMo,Unity-Design-Pattern,3400,https://github.com/QianMo/Unity-Design-Pattern
QianMo,Awesome-Unity-Shader,3400,https://github.com/QianMo/Awesome-Unity-Shader
liangxiegame,QFramework,3200,https://github.com/liangxiegame/QFramework
focus-creative-games,hybridclr,3200,https://github.com/focus-creative-games/hybridclr
Cysharp,MagicOnion,3100,https://github.com/Cysharp/MagicOnion
BepInEx,BepInEx,3000,https://github.com/BepInEx/BepInEx
mob-sakai,ParticleEffectForUGUI,2900,https://github.com/mob-sakai/ParticleEffectForUGUI
wave-harmonic,crest,2900,https://github.com/wave-harmonic/crest
UnityCommunity,UnityLibrary,2900,https://github.com/UnityCommunity/UnityLibrary
topameng,tolua,2900,https://github.com/topameng/tolua
