username,repo_name,stars_count,repo_url
microsoft,AirSim,14100,https://github.com/microsoft/AirSim
heroiclabs,nakama,7000,https://github.com/heroiclabs/nakama
ThusSpokeNomad,GameNetworkingResources,5500,https://github.com/ThusSpokeNomad/GameNetworkingResources
Allar,ue5-style-guide,3900,https://github.com/Allar/ue5-style-guide
nxrighthere,UnrealCLR,2600,https://github.com/nxrighthere/UnrealCLR
tomlooman,ActionRoguelike,2400,https://github.com/tomlooman/ActionRoguelike
lgsvl,simulator,2000,https://github.com/lgsvl/simulator
gonglei007,GameDevMind,2000,https://github.com/gonglei007/GameDevMind
gildor2,UEViewer,1900,https://github.com/gildor2/UEViewer
dyanikoglu,ALS-Community,1600,https://github.com/dyanikoglu/ALS-Community
Tencent,sluaunreal,1500,https://github.com/Tencent/sluaunreal
xavier150,Blender-For-UnrealEngine-Addons,1500,https://github.com/xavier150/Blender-For-UnrealEngine-Addons
Gforcex,OpenGraphic,1400,https://github.com/Gforcex/OpenGraphic
Phyronnaz,VoxelPlugin,1400,https://github.com/Phyronnaz/VoxelPlugin
TriAxis-Games,RealtimeMeshComponent,1300,https://github.com/TriAxis-Games/RealtimeMeshComponent
zfoo-project,zfoo,1200,https://github.com/zfoo-project/zfoo
getnamo,TensorFlow-Unreal,1000,https://github.com/getnamo/TensorFlow-Unreal
sideeffects,HoudiniEngineForUnreal,1000,https://github.com/sideeffects/HoudiniEngineForUnreal
AsPJT,DungeonTemplateLibrary,991,https://github.com/AsPJT/DungeonTemplateLibrary
Harrison1,unrealcpp,980,https://github.com/Harrison1/unrealcpp
ufna,VaRest,955,https://github.com/ufna/VaRest
ProjectBorealis,PBCharacterMovement,948,https://github.com/ProjectBorealis/PBCharacterMovement
iniside,ActionRPGGame,922,https://github.com/iniside/ActionRPGGame
ashea-code,BLUI,865,https://github.com/ashea-code/BLUI
4sval,FModel,857,https://github.com/4sval/FModel
deepdrive,deepdrive,826,https://github.com/deepdrive/deepdrive
hxhb,HotPatcher,751,https://github.com/hxhb/HotPatcher
SRombauts,UEGitPlugin,716,https://github.com/SRombauts/UEGitPlugin
adamrehn,ue4-docker,689,https://github.com/adamrehn/ue4-docker
Pantong51,GASContent,637,https://github.com/Pantong51/GASContent
MothCocoon,FlowGraph,622,https://github.com/MothCocoon/FlowGraph
ikrima,gamedevguide,574,https://github.com/ikrima/gamedevguide
ryanjon2040,Unreal-Binary-Builder,569,https://github.com/ryanjon2040/Unreal-Binary-Builder
truong-bui,AsyncLoadingScreen,555,https://github.com/truong-bui/AsyncLoadingScreen
mamoniem,UnrealEditorPythonScripts,553,https://github.com/mamoniem/UnrealEditorPythonScripts
BYU-PCCL,holodeck,550,https://github.com/BYU-PCCL/holodeck
bw2012,UE4VoxelTerrain,541,https://github.com/bw2012/UE4VoxelTerrain
jinyuliao,GenericGraph,507,https://github.com/jinyuliao/GenericGraph
Jim-Kroovy,Mr-Mannequins-Tools,449,https://github.com/Jim-Kroovy/Mr-Mannequins-Tools
mikeroyal,Unreal-Engine-Guide,425,https://github.com/mikeroyal/Unreal-Engine-Guide
