username,repo_name,stars_count,repo_url
hashicorp,vagrant,25100,https://github.com/hashicorp/vagrant
geerlingguy,ansible-for-devops,6800,https://github.com/geerlingguy/ansible-for-devops
Varying-Vagrant-Vagrants,VVV,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
clong,DetectionLab,4100,https://github.com/clong/DetectionLab
chef,bento,4000,https://github.com/chef/bento
ServiceStack,redis-windows,2700,https://github.com/ServiceStack/redis-windows
roots,trellis,2400,https://github.com/roots/trellis
vagrant-libvirt,vagrant-libvirt,2200,https://github.com/vagrant-libvirt/vagrant-libvirt
ianmiell,shutit,2100,https://github.com/ianmiell/shutit
leucos,ansible-tuto,2100,https://github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,2100,https://github.com/Artemmkin/infrastructure-as-code-tutorial
geerlingguy,ansible-vagrant-examples,2000,https://github.com/geerlingguy/ansible-vagrant-examples
rootsongjc,kubernetes-vagrant-centos-cluster,1900,https://github.com/rootsongjc/kubernetes-vagrant-centos-cluster
ChristianLempa,boilerplates,1800,https://github.com/ChristianLempa/boilerplates
magma,magma,1500,https://github.com/magma/magma
scottslowe,learning-tools,1400,https://github.com/scottslowe/learning-tools
geerlingguy,drupal-vm,1400,https://github.com/geerlingguy/drupal-vm
StefanScherer,packer-windows,1100,https://github.com/StefanScherer/packer-windows
timsutton,osx-vm-templates,1100,https://github.com/timsutton/osx-vm-templates
hypriot,image-builder-rpi,1100,https://github.com/hypriot/image-builder-rpi
vccw-team,vccw,1000,https://github.com/vccw-team/vccw
uber-common,metta,1000,https://github.com/uber-common/metta
GoSecure,malboxes,995,https://github.com/GoSecure/malboxes
Parallels,vagrant-parallels,966,https://github.com/Parallels/vagrant-parallels
StefanScherer,windows-docker-machine,925,https://github.com/StefanScherer/windows-docker-machine
oracle,vagrant-projects,846,https://github.com/oracle/vagrant-projects
r8,vagrant-lamp,757,https://github.com/r8/vagrant-lamp
vagrant-landrush,landrush,670,https://github.com/vagrant-landrush/landrush
thomvaill,tads-boilerplate,656,https://github.com/thomvaill/tads-boilerplate
bacongravy,macinbox,652,https://github.com/bacongravy/macinbox
phansible,phansible,640,https://github.com/phansible/phansible
adithyakhamithkar,ansible-playbooks,638,https://github.com/adithyakhamithkar/ansible-playbooks
geerlingguy,packer-boxes,634,https://github.com/geerlingguy/packer-boxes
Chassis,Chassis,625,https://github.com/Chassis/Chassis
Sliim,pentest-env,622,https://github.com/Sliim/pentest-env
pires,kubernetes-vagrant-coreos-cluster,601,https://github.com/pires/kubernetes-vagrant-coreos-cluster
leighmcculloch,vagrant-docker-compose,594,https://github.com/leighmcculloch/vagrant-docker-compose
R3dy,capsulecorp-pentest,591,https://github.com/R3dy/capsulecorp-pentest
iJackUA,awesome-vagrant,575,https://github.com/iJackUA/awesome-vagrant
StefanScherer,docker-windows-box,572,https://github.com/StefanScherer/docker-windows-box
