username,repo_name,stars_count,repo_url
neovim,neovim,64200,https://github.com/neovim/neovim
junegunn,fzf,51300,https://github.com/junegunn/fzf
LeCoupa,awesome-cheatsheets,33000,https://github.com/LeCoupa/awesome-cheatsheets
junegunn,vim-plug,30900,https://github.com/junegunn/vim-plug
vim,vim,29900,https://github.com/vim/vim
ycm-core,YouCompleteMe,24700,https://github.com/ycm-core/YouCompleteMe
syl20bnr,spacemacs,22900,https://github.com/syl20bnr/spacemacs
neoclide,coc.nvim,22500,https://github.com/neoclide/coc.nvim
helix-editor,helix,20400,https://github.com/helix-editor/helix
SpaceVim,SpaceVim,19700,https://github.com/SpaceVim/SpaceVim
preservim,nerdtree,18300,https://github.com/preservim/nerdtree
vim-airline,vim-airline,17200,https://github.com/vim-airline/vim-airline
doomemacs,doomemacs,16400,https://github.com/doomemacs/doomemacs
jarun,nnn,16000,https://github.com/jarun/nnn
NvChad,NvChad,15600,https://github.com/NvChad/NvChad
fatih,vim-go,15300,https://github.com/fatih/vim-go
mhinz,vim-galore,15300,https://github.com/mhinz/vim-galore
LunarVim,LunarVim,13800,https://github.com/LunarVim/LunarVim
powerline,powerline,13700,https://github.com/powerline/powerline
ranger,ranger,13100,https://github.com/ranger/ranger
dense-analysis,ale,12600,https://github.com/dense-analysis/ale
VSCodeVim,Vim,11700,https://github.com/VSCodeVim/Vim
onivim,oni,11400,https://github.com/onivim/oni
iggredible,Learn-Vim,11200,https://github.com/iggredible/Learn-Vim
vnotex,vnote,10200,https://github.com/vnotex/vnote
skywind3000,awesome-cheatsheets,10000,https://github.com/skywind3000/awesome-cheatsheets
wsdjeg,vim-galore-zh_cn,9600,https://github.com/wsdjeg/vim-galore-zh_cn
junegunn,fzf.vim,8800,https://github.com/junegunn/fzf.vim
mawww,kakoune,8700,https://github.com/mawww/kakoune
qutebrowser,qutebrowser,8500,https://github.com/qutebrowser/qutebrowser
AstroNvim,AstroNvim,8400,https://github.com/AstroNvim/AstroNvim
atlas-engineer,nyxt,8300,https://github.com/atlas-engineer/nyxt
airblade,vim-gitgutter,8000,https://github.com/airblade/vim-gitgutter
vimwiki,vimwiki,8000,https://github.com/vimwiki/vimwiki
JetBrains,ideavim,7400,https://github.com/JetBrains/ideavim
macvim-dev,macvim,7200,https://github.com/macvim-dev/macvim
SirVer,ultisnips,7100,https://github.com/SirVer/ultisnips
neovim,nvim-lspconfig,7000,https://github.com/neovim/nvim-lspconfig
easymotion,vim-easymotion,7000,https://github.com/easymotion/vim-easymotion
itchyny,lightline.vim,6500,https://github.com/itchyny/lightline.vim
