username,repo_name,stars_count,repo_url
mrdoob,three.js,90400,https://github.com/mrdoob/three.js
aframevr,aframe,15200,https://github.com/aframevr/aframe
bulletphysics,bullet3,10400,https://github.com/bulletphysics/bullet3
playcanvas,engine,8200,https://github.com/playcanvas/engine
relativty,Relativty,6000,https://github.com/relativty/Relativty
ExtendRealityLtd,VRTK,3600,https://github.com/ExtendRealityLtd/VRTK
immersive-web,webxr,2700,https://github.com/immersive-web/webxr
viromedia,viro,2000,https://github.com/viromedia/viro
widgetti,ipyvolume,1800,https://github.com/widgetti/ipyvolume
praydog,REFramework,1500,https://github.com/praydog/REFramework
bjornbytes,lovr,1500,https://github.com/bjornbytes/lovr
supermedium,aframe-react,1400,https://github.com/supermedium/aframe-react
aframevr,awesome-aframe,1300,https://github.com/aframevr/awesome-aframe
letoram,arcan,1300,https://github.com/letoram/arcan
supermedium,superframe,1300,https://github.com/supermedium/superframe
the3deer,android-3D-model-viewer,1300,https://github.com/the3deer/android-3D-model-viewer
networked-aframe,networked-aframe,1100,https://github.com/networked-aframe/networked-aframe
AsPJT,DungeonTemplateLibrary,991,https://github.com/AsPJT/DungeonTemplateLibrary
exokitxr,exokit,951,https://github.com/exokitxr/exokit
reinterpretcat,utymap,902,https://github.com/reinterpretcat/utymap
julrog,nn_vis,870,https://github.com/julrog/nn_vis
immersive-web,webxr-samples,829,https://github.com/immersive-web/webxr-samples
StereoKit,StereoKit,769,https://github.com/StereoKit/StereoKit
aestheticinteractive,Hover-UI-Kit,752,https://github.com/aestheticinteractive/Hover-UI-Kit
fabio914,RealityMixer,736,https://github.com/fabio914/RealityMixer
De-Panther,unity-webxr-export,692,https://github.com/De-Panther/unity-webxr-export
KhronosGroup,OpenXR-SDK,650,https://github.com/KhronosGroup/OpenXR-SDK
aframevr,a-painter,645,https://github.com/aframevr/a-painter
aframevr,aframe-inspector,597,https://github.com/aframevr/aframe-inspector
icosa-gallery,open-brush,594,https://github.com/icosa-gallery/open-brush
rurre,PumkinsAvatarTools,583,https://github.com/rurre/PumkinsAvatarTools
EtherealEngine,etherealengine,581,https://github.com/EtherealEngine/etherealengine
microsoft,MapsSDK-Unity,556,https://github.com/microsoft/MapsSDK-Unity
omgmog,uxofvr.com,532,https://github.com/omgmog/uxofvr.com
Project-Splinter,MonoPort,504,https://github.com/Project-Splinter/MonoPort
vircadia,vircadia,496,https://github.com/vircadia/vircadia
matryx,calcflow,487,https://github.com/matryx/calcflow
KhronosGroup,OpenXR-SDK-Source,482,https://github.com/KhronosGroup/OpenXR-SDK-Source
ultraleap,UnityPlugin,452,https://github.com/ultraleap/UnityPlugin
maxxfrazer,RealityUI,451,https://github.com/maxxfrazer/RealityUI
