username,repo_name,stars_count,repo_url
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
Polymer,polymer,21900,https://github.com/Polymer/polymer
Tencent,omi,12500,https://github.com/Tencent/omi
rough-stuff,wired-elements,9300,https://github.com/rough-stuff/wired-elements
microsoft,fast,8100,https://github.com/microsoft/fast
vmware-archive,clarity,6500,https://github.com/vmware-archive/clarity
andreasbm,web-skills,6400,https://github.com/andreasbm/web-skills
skatejs,skatejs,3300,https://github.com/skatejs/skatejs
github,relative-time-element,2700,https://github.com/github/relative-time-element
yued-fe,lulu,2600,https://github.com/yued-fe/lulu
openui,open-ui,2500,https://github.com/openui/open-ui
github,github-elements,2500,https://github.com/github/github-elements
matthewp,haunted,2500,https://github.com/matthewp/haunted
vime-js,vime,2500,https://github.com/vime-js/vime
web-padawan,awesome-web-components,2200,https://github.com/web-padawan/awesome-web-components
open-wc,open-wc,2000,https://github.com/open-wc/open-wc
karol-f,vue-custom-element,1900,https://github.com/karol-f/vue-custom-element
capricorn86,happy-dom,1800,https://github.com/capricorn86/happy-dom
hellof2e,quark-design,1500,https://github.com/hellof2e/quark-design
ing-bank,lion,1500,https://github.com/ing-bank/lion
ssleptsov,ninja-keys,1400,https://github.com/ssleptsov/ninja-keys
SAP,ui5-webcomponents,1300,https://github.com/SAP/ui5-webcomponents
wix,stylable,1200,https://github.com/wix/stylable
microsoft,fluentui-blazor,1200,https://github.com/microsoft/fluentui-blazor
Polymer,polymer-bundler,1200,https://github.com/Polymer/polymer-bundler
XboxYan,xy-ui,1100,https://github.com/XboxYan/xy-ui
GoogleChromeLabs,dark-mode-toggle,1000,https://github.com/GoogleChromeLabs/dark-mode-toggle
gdg-x,hoverboard,1000,https://github.com/gdg-x/hoverboard
lume,lume,966,https://github.com/lume/lume
atomicojs,atomico,948,https://github.com/atomicojs/atomico
nolanlawson,emoji-picker-element,944,https://github.com/nolanlawson/emoji-picker-element
tbranyen,diffhtml,840,https://github.com/tbranyen/diffhtml
microsoftgraph,microsoft-graph-toolkit,793,https://github.com/microsoftgraph/microsoft-graph-toolkit
github,details-dialog-element,739,https://github.com/github/details-dialog-element
vidstack,player,734,https://github.com/vidstack/player
elix,elix,730,https://github.com/elix/elix
papyrs,stylo,698,https://github.com/papyrs/stylo
web-padawan,vanilla-colorful,696,https://github.com/web-padawan/vanilla-colorful
muxinc,media-chrome,693,https://github.com/muxinc/media-chrome
crashmax-dev,fireworks-js,670,https://github.com/crashmax-dev/fireworks-js
