username,repo_name,stars_count,repo_url
donnemartin,system-design-primer,216000,https://github.com/donnemartin/system-design-primer
louislam,uptime-kuma,31600,https://github.com/louislam/uptime-kuma
tipsy,profile-summary-for-github,19700,https://github.com/tipsy/profile-summary-for-github
dexteryy,spellbook-of-modern-webdev,15900,https://github.com/dexteryy/spellbook-of-modern-webdev
dailydotdev,daily,12200,https://github.com/dailydotdev/daily
mickael-kerjean,filestash,7600,https://github.com/mickael-kerjean/filestash
jagenjo,webglstudio.js,4900,https://github.com/jagenjo/webglstudio.js
H-M-H,Weylus,4800,https://github.com/H-M-H/Weylus
miguelgrinberg,microblog,4200,https://github.com/miguelgrinberg/microblog
h2oai,wave,3400,https://github.com/h2oai/wave
toolswatch,blackhat-arsenal-tools,3300,https://github.com/toolswatch/blackhat-arsenal-tools
zauberzeug,nicegui,3300,https://github.com/zauberzeug/nicegui
didi,mpx,3200,https://github.com/didi/mpx
nisrulz,app-privacy-policy-generator,3200,https://github.com/nisrulz/app-privacy-policy-generator
shadowwalker,next-pwa,2900,https://github.com/shadowwalker/next-pwa
tiangolo,uwsgi-nginx-flask-docker,2800,https://github.com/tiangolo/uwsgi-nginx-flask-docker
jakubroztocil,cloudtunes,2500,https://github.com/jakubroztocil/cloudtunes
ulisesbocchio,jasypt-spring-boot,2400,https://github.com/ulisesbocchio/jasypt-spring-boot
MarnoDev,react-native-open-project,2300,https://github.com/MarnoDev/react-native-open-project
samuelmaddock,metastream,2200,https://github.com/samuelmaddock/metastream
dbeaver,cloudbeaver,2200,https://github.com/dbeaver/cloudbeaver
batnoter,batnoter,2100,https://github.com/batnoter/batnoter
saschagrunert,webapp.rs,2100,https://github.com/saschagrunert/webapp.rs
nitin42,terminal-in-react,2100,https://github.com/nitin42/terminal-in-react
ever-co,ever-traduora,1800,https://github.com/ever-co/ever-traduora
miroslavpejic85,mirotalk,1700,https://github.com/miroslavpejic85/mirotalk
bobiscool,wxDraw,1700,https://github.com/bobiscool/wxDraw
Ajaxy,telegram-tt,1600,https://github.com/Ajaxy/telegram-tt
ExpDev07,coronavirus-tracker-api,1600,https://github.com/ExpDev07/coronavirus-tracker-api
HolyBugx,HolyTips,1400,https://github.com/HolyBugx/HolyTips
smapiot,piral,1400,https://github.com/smapiot/piral
Yooooomi,your_spotify,1400,https://github.com/Yooooomi/your_spotify
jrieke,traingenerator,1300,https://github.com/jrieke/traingenerator
cryptii,cryptii,1300,https://github.com/cryptii/cryptii
treefrogframework,treefrog-framework,1200,https://github.com/treefrogframework/treefrog-framework
snorpey,jpg-glitch,1200,https://github.com/snorpey/jpg-glitch
oliver-gomes,csswand,1200,https://github.com/oliver-gomes/csswand
ArthurSonzogni,Diagon,1100,https://github.com/ArthurSonzogni/Diagon
arclanguage,anarki,1100,https://github.com/arclanguage/anarki
cybersecsi,HOUDINI,1100,https://github.com/cybersecsi/HOUDINI
