username,repo_name,stars_count,repo_url
PanJiaChen,vue-element-admin,81600,https://github.com/PanJiaChen/vue-element-admin
storybookjs,storybook,77800,https://github.com/storybookjs/storybook
webpack,webpack,62800,https://github.com/webpack/webpack
bailicangdu,vue2-elm,39900,https://github.com/bailicangdu/vue2-elm
akveo,ngx-admin,24400,https://github.com/akveo/ngx-admin
markerikson,react-redux-links,22200,https://github.com/markerikson/react-redux-links
electron-react-boilerplate,electron-react-boilerplate,21100,https://github.com/electron-react-boilerplate/electron-react-boilerplate
vercel,turbo,20500,https://github.com/vercel/turbo
jhipster,generator-jhipster,20400,https://github.com/jhipster/generator-jhipster
verekia,js-stack-from-scratch,19800,https://github.com/verekia/js-stack-from-scratch
mojs,mojs,17900,https://github.com/mojs/mojs
alibaba,ice,17500,https://github.com/alibaba/ice
jamiebuilds,react-loadable,16500,https://github.com/jamiebuilds/react-loadable
SimulatedGREG,electron-vue,15300,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14800,https://github.com/grab/front-end-guide
FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
bailicangdu,vue2-manage,12700,https://github.com/bailicangdu/vue2-manage
webpack-contrib,webpack-bundle-analyzer,12200,https://github.com/webpack-contrib/webpack-bundle-analyzer
d2-projects,d2-admin,12100,https://github.com/d2-projects/d2-admin
jaredpalmer,razzle,11000,https://github.com/jaredpalmer/razzle
jantimon,html-webpack-plugin,10400,https://github.com/jantimon/html-webpack-plugin
PatrickJS,MFE-starter,10400,https://github.com/PatrickJS/MFE-starter
ksky521,nodeppt,10100,https://github.com/ksky521/nodeppt
aui,art-template,9800,https://github.com/aui/art-template
timarney,react-app-rewired,9500,https://github.com/timarney/react-app-rewired
gregberge,svgr,9500,https://github.com/gregberge/svgr
pastelsky,bundlephobia,7800,https://github.com/pastelsky/bundlephobia
akveo,nebular,7800,https://github.com/akveo/nebular
webpack,webpack-dev-server,7600,https://github.com/webpack/webpack-dev-server
phuocng,csslayout,7300,https://github.com/phuocng/csslayout
chrisvfritz,prerender-spa-plugin,7300,https://github.com/chrisvfritz/prerender-spa-plugin
gregberge,loadable-components,7200,https://github.com/gregberge/loadable-components
webslides,WebSlides,6000,https://github.com/webslides/WebSlides
hinesboy,mavonEditor,6000,https://github.com/hinesboy/mavonEditor
WhitestormJS,whs.js,6000,https://github.com/WhitestormJS/whs.js
alibaba,x-render,5700,https://github.com/alibaba/x-render
insin,nwb,5600,https://github.com/insin/nwb
electron,forge,5500,https://github.com/electron/forge
zouhir,jarvis,5400,https://github.com/zouhir/jarvis
maximegris,angular-electron,5300,https://github.com/maximegris/angular-electron
