username,repo_name,stars_count,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,134000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,94300,https://github.com/nodejs/node
microsoft,PowerToys,88800,https://github.com/microsoft/PowerToys
atom,atom,59300,https://github.com/atom/atom
ventoy,Ventoy,47400,https://github.com/ventoy/Ventoy
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
x64dbg,x64dbg,40300,https://github.com/x64dbg/x64dbg
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
2dust,v2rayN,40200,https://github.com/2dust/v2rayN
sherlock-project,sherlock,40100,https://github.com/sherlock-project/sherlock
marktext,marktext,39200,https://github.com/marktext/marktext
PowerShell,PowerShell,37700,https://github.com/PowerShell/PowerShell
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
agalwood,Motrix,36400,https://github.com/agalwood/Motrix
nativefier,nativefier,33300,https://github.com/nativefier/nativefier
massgravel,Microsoft-Activation-Scripts,30100,https://github.com/massgravel/Microsoft-Activation-Scripts
lencx,ChatGPT,28600,https://github.com/lencx/ChatGPT
files-community,Files,27100,https://github.com/files-community/Files
coreybutler,nvm-windows,27000,https://github.com/coreybutler/nvm-windows
microsoft,calculator,26900,https://github.com/microsoft/calculator
WerWolv,ImHex,26500,https://github.com/WerWolv/ImHex
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
cmderdev,cmder,24600,https://github.com/cmderdev/cmder
Wox-launcher,Wox,22800,https://github.com/Wox-launcher/Wox
qier222,YesPlayMusic,22600,https://github.com/qier222/YesPlayMusic
pbatard,rufus,22400,https://github.com/pbatard/rufus
Awesome-Windows,Awesome,22100,https://github.com/Awesome-Windows/Awesome
notable,notable,21500,https://github.com/notable/notable
libgdx,libgdx,21300,https://github.com/libgdx/libgdx
libuv,libuv,21200,https://github.com/libuv/libuv
huiyadanli,RevokeMsgPatcher,20000,https://github.com/huiyadanli/RevokeMsgPatcher
microsoft,winget-cli,19800,https://github.com/microsoft/winget-cli
notepad-plus-plus,notepad-plus-plus,19000,https://github.com/notepad-plus-plus/notepad-plus-plus
microsoft,vcpkg,18200,https://github.com/microsoft/vcpkg
ScoopInstaller,Scoop,17500,https://github.com/ScoopInstaller/Scoop
AvaloniaUI,Avalonia,17400,https://github.com/AvaloniaUI/Avalonia
BoostIO,BoostNote-Legacy,17200,https://github.com/BoostIO/BoostNote-Legacy
cocos2d,cocos2d-x,17000,https://github.com/cocos2d/cocos2d-x
appium,appium,16100,https://github.com/appium/appium
