username,repo_name,stars_count,repo_url
vinkla,wordplate,1900,https://github.com/vinkla/wordplate
wordplate,plate,82,https://github.com/wordplate/plate
wordplate,framework,47,https://github.com/wordplate/framework
fiskhandlarn,blade,29,https://github.com/fiskhandlarn/blade
wordplate,mail,27,https://github.com/wordplate/mail
Levdbas,BasePlate,22,https://github.com/Levdbas/BasePlate
wordplate,wordplate.github.io,19,https://github.com/wordplate/wordplate.github.io
neone35,plumber123,7,https://github.com/neone35/plumber123
b4nghh,wordplate-boilerplate,6,https://github.com/b4nghh/wordplate-boilerplate
Influactive360,wordplate,2,https://github.com/Influactive360/wordplate
hoymultimedia,polylang,2,https://github.com/hoymultimedia/polylang
antoinegreuzard,wordplate-vite.config.js,0,https://github.com/antoinegreuzard/wordplate-vite.config.js
