username,repo_name,stars_count,repo_url
digitalocean,nginxconfig.io,25500,https://github.com/digitalocean/nginxconfig.io
benweet,stackedit,20200,https://github.com/benweet/stackedit
Automattic,wp-calypso,12200,https://github.com/Automattic/wp-calypso
roots,sage,12100,https://github.com/roots/sage
WordPress,gutenberg,8600,https://github.com/WordPress/gutenberg
woocommerce,woocommerce,8500,https://github.com/woocommerce/woocommerce
wpscanteam,wpscan,7400,https://github.com/wpscanteam/wpscan
roots,bedrock,5800,https://github.com/roots/bedrock
timber,timber,5200,https://github.com/timber/timber
wp-cli,wp-cli,4700,https://github.com/wp-cli/wp-cli
Varying-Vagrant-Vagrants,VVV,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
postlight,headless-wp-starter,4300,https://github.com/postlight/headless-wp-starter
corcel,corcel,3900,https://github.com/corcel/corcel
lando,lando,3700,https://github.com/lando/lando
wordpress-mobile,WordPress-iOS,3500,https://github.com/wordpress-mobile/WordPress-iOS
wp-graphql,wp-graphql,3400,https://github.com/wp-graphql/wp-graphql
wp-bootstrap,wp-bootstrap-navwalker,3300,https://github.com/wp-bootstrap/wp-bootstrap-navwalker
solstice23,argon-theme,3300,https://github.com/solstice23/argon-theme
ahmadawais,create-guten-block,3200,https://github.com/ahmadawais/create-guten-block
mashirozx,sakura,3000,https://github.com/mashirozx/sakura
frontity,frontity,2800,https://github.com/frontity/frontity
CMB2,CMB2,2800,https://github.com/CMB2/CMB2
wordpress-mobile,WordPress-Android,2800,https://github.com/wordpress-mobile/WordPress-Android
olefredrik,FoundationPress,2700,https://github.com/olefredrik/FoundationPress
seatonjiang,kratos,2700,https://github.com/seatonjiang/kratos
versionpress,versionpress,2600,https://github.com/versionpress/versionpress
gautamkrishnar,blog-post-workflow,2500,https://github.com/gautamkrishnar/blog-post-workflow
Tuhinshubhra,RED_HAWK,2400,https://github.com/Tuhinshubhra/RED_HAWK
roots,trellis,2400,https://github.com/roots/trellis
EasyEngine,easyengine,2000,https://github.com/EasyEngine/easyengine
htpcBeginner,docker-traefik,1900,https://github.com/htpcBeginner/docker-traefik
YahnisElsts,plugin-update-checker,1900,https://github.com/YahnisElsts/plugin-update-checker
vinkla,wordplate,1900,https://github.com/vinkla/wordplate
GSA,datagov-wptheme,1900,https://github.com/GSA/datagov-wptheme
Tuhinshubhra,CMSeeK,1900,https://github.com/Tuhinshubhra/CMSeeK
mirai-mamori,Sakurairo,1900,https://github.com/mirai-mamori/Sakurairo
welaika,wordmove,1800,https://github.com/welaika/wordmove
ampproject,amp-wp,1800,https://github.com/ampproject/amp-wp
ddev,ddev,1700,https://github.com/ddev/ddev
humanmade,S3-Uploads,1700,https://github.com/humanmade/S3-Uploads
