username,repo_name,stars_count,repo_url
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
xbmc,xbmc,15600,https://github.com/xbmc/xbmc
qax-os,excelize,14700,https://github.com/qax-os/excelize
jhy,jsoup,10100,https://github.com/jhy/jsoup
troyeguo,koodo-reader,10000,https://github.com/troyeguo/koodo-reader
mikefarah,yq,8300,https://github.com/mikefarah/yq
reactiveui,refit,7000,https://github.com/reactiveui/refit
pocoproject,poco,6900,https://github.com/pocoproject/poco
dbohdan,structured-text-tools,6700,https://github.com/dbohdan/structured-text-tools
rest-assured,rest-assured,6300,https://github.com/rest-assured/rest-assured
sparklemotion,nokogiri,6000,https://github.com/sparklemotion/nokogiri
wader,fq,5900,https://github.com/wader/fq
mledoze,countries,5700,https://github.com/mledoze/countries
wiremock,wiremock,5500,https://github.com/wiremock/wiremock
ServiceStack,ServiceStack,5200,https://github.com/ServiceStack/ServiceStack
theseer,tokenizer,5000,https://github.com/theseer/tokenizer
Leonidas-from-XIV,node-xml2js,4700,https://github.com/Leonidas-from-XIV/node-xml2js
dr5hn,countries-states-cities-database,4600,https://github.com/dr5hn/countries-states-cities-database
tboox,tbox,4300,https://github.com/tboox/tbox
TomWright,dasel,4100,https://github.com/TomWright/dasel
fb55,htmlparser2,3800,https://github.com/fb55/htmlparser2
JavaNoober,BackgroundLibrary,3600,https://github.com/JavaNoober/BackgroundLibrary
zeux,pugixml,3400,https://github.com/zeux/pugixml
tdewolff,minify,3300,https://github.com/tdewolff/minify
php-curl-class,php-curl-class,3100,https://github.com/php-curl-class/php-curl-class
florent37,ShapeOfView,3000,https://github.com/florent37/ShapeOfView
posthtml,posthtml,2900,https://github.com/posthtml/posthtml
elvishew,xLog,2800,https://github.com/elvishew/xLog
substance,substance,2700,https://github.com/substance/substance
mattt,Ono,2600,https://github.com/mattt/Ono
thymeleaf,thymeleaf,2500,https://github.com/thymeleaf/thymeleaf
kislyuk,yq,2100,https://github.com/kislyuk/yq
Imangazaliev,DiDOM,2100,https://github.com/Imangazaliev/DiDOM
ajstarks,svgo,2000,https://github.com/ajstarks/svgo
dino,dino,2000,https://github.com/dino/dino
focus-creative-games,luban,1900,https://github.com/focus-creative-games/luban
spatie,laravel-sitemap,1900,https://github.com/spatie/laravel-sitemap
lukes,ISO-3166-Countries-with-Regional-Codes,1900,https://github.com/lukes/ISO-3166-Countries-with-Regional-Codes
NaturalIntelligence,fast-xml-parser,1900,https://github.com/NaturalIntelligence/fast-xml-parser
dotnetcore,WebApiClient,1900,https://github.com/dotnetcore/WebApiClient
