username,repo_name,stars_count,repo_url
dotnet-architecture,eShopOnContainers,22800,https://github.com/dotnet-architecture/eShopOnContainers
mono,mono,10400,https://github.com/mono/mono
unoplatform,uno,7600,https://github.com/unoplatform/uno
reactiveui,ReactiveUI,7400,https://github.com/reactiveui/ReactiveUI
reactiveui,refit,7000,https://github.com/reactiveui/refit
NLog,NLog,5800,https://github.com/NLog/NLog
xamarin,Xamarin.Forms,5600,https://github.com/xamarin/Xamarin.Forms
neuecc,MessagePack-CSharp,4600,https://github.com/neuecc/MessagePack-CSharp
bitwarden,mobile,4500,https://github.com/bitwarden/mobile
xamarin,xamarin-forms-samples,4300,https://github.com/xamarin/xamarin-forms-samples
MvvmCross,MvvmCross,3800,https://github.com/MvvmCross/MvvmCross
mono,SkiaSharp,3300,https://github.com/mono/SkiaSharp
migueldeicaza,TensorFlowSharp,3100,https://github.com/migueldeicaza/TensorFlowSharp
beto-rodriguez,LiveCharts2,2700,https://github.com/beto-rodriguez/LiveCharts2
Caliburn-Micro,Caliburn.Micro,2600,https://github.com/Caliburn-Micro/Caliburn.Micro
mono,CppSharp,2600,https://github.com/mono/CppSharp
jsuarezruiz,xamarin-forms-goodlooking-UI,2500,https://github.com/jsuarezruiz/xamarin-forms-goodlooking-UI
reactiveui,Akavache,2300,https://github.com/reactiveui/Akavache
xamarin,xamarin-macios,2200,https://github.com/xamarin/xamarin-macios
XamSome,awesome-xamarin,1800,https://github.com/XamSome/awesome-xamarin
microcharts-dotnet,Microcharts,1800,https://github.com/microcharts-dotnet/Microcharts
NLua,NLua,1700,https://github.com/NLua/NLua
xamarin,ios-samples,1600,https://github.com/xamarin/ios-samples
xamarin,Essentials,1500,https://github.com/xamarin/Essentials
microsoft,AdaptiveCards,1500,https://github.com/microsoft/AdaptiveCards
luberda-molinet,FFImageLoading,1400,https://github.com/luberda-molinet/FFImageLoading
jamesmontemagno,Xamarin.Plugins,1300,https://github.com/jamesmontemagno/Xamarin.Plugins
Baseflow,LottieXamarin,1200,https://github.com/Baseflow/LottieXamarin
moonsharp-devs,moonsharp,1200,https://github.com/moonsharp-devs/moonsharp
jamie-mh,AuthenticatorPro,1200,https://github.com/jamie-mh/AuthenticatorPro
shinyorg,shiny,1200,https://github.com/shinyorg/shiny
videolan,libvlcsharp,1200,https://github.com/videolan/libvlcsharp
lbugnion,mvvmlight,1100,https://github.com/lbugnion/mvvmlight
rotorgames,Rg.Plugins.Popup,1100,https://github.com/rotorgames/Rg.Plugins.Popup
realm,realm-dotnet,1100,https://github.com/realm/realm-dotnet
MarimerLLC,csla,1100,https://github.com/MarimerLLC/csla
AzureAD,microsoft-authentication-library-for-dotnet,1100,https://github.com/AzureAD/microsoft-authentication-library-for-dotnet
unosquare,ffmediaelement,1000,https://github.com/unosquare/ffmediaelement
syncfusion,essential-ui-kit-for-xamarin.forms,1000,https://github.com/syncfusion/essential-ui-kit-for-xamarin.forms
prajjwaldimri,GithubXamarin,1000,https://github.com/prajjwaldimri/GithubXamarin
