username,repo_name,stars_count,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
facebook,react-native,109000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,101000,https://github.com/justjavac/free-programming-books-zh_CN
ionic-team,ionic-framework,48800,https://github.com/ionic-team/ionic-framework
google,material-design-icons,47800,https://github.com/google/material-design-icons
Solido,awesome-flutter,46100,https://github.com/Solido/awesome-flutter
vsouza,awesome-ios,42400,https://github.com/vsouza/awesome-ios
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
dcloudio,uni-app,37900,https://github.com/dcloudio/uni-app
ultralytics,yolov5,36900,https://github.com/ultralytics/yolov5
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
dkhamsing,open-source-ios-apps,34200,https://github.com/dkhamsing/open-source-ios-apps
SheetJS,sheetjs,32600,https://github.com/SheetJS/sheetjs
xitu,gold-miner,32100,https://github.com/xitu/gold-miner
bilibili,ijkplayer,31300,https://github.com/bilibili/ijkplayer
appwrite,appwrite,30300,https://github.com/appwrite/appwrite
SDWebImage,SDWebImage,24500,https://github.com/SDWebImage/SDWebImage
airbnb,lottie-ios,23800,https://github.com/airbnb/lottie-ios
react-native-elements,react-native-elements,23500,https://github.com/react-native-elements/react-native-elements
ReactiveX,RxSwift,23200,https://github.com/ReactiveX/RxSwift
quasarframework,quasar,23200,https://github.com/quasarframework/quasar
matteocrippa,awesome-swift,23100,https://github.com/matteocrippa/awesome-swift
NativeScript,NativeScript,22400,https://github.com/NativeScript/NativeScript
HeroTransitions,Hero,21300,https://github.com/HeroTransitions/Hero
libgdx,libgdx,21300,https://github.com/libgdx/libgdx
onevcat,Kingfisher,21100,https://github.com/onevcat/Kingfisher
fyne-io,fyne,19900,https://github.com/fyne-io/fyne
expo,expo,19800,https://github.com/expo/expo
nikitavoloboev,my-mac,19500,https://github.com/nikitavoloboev/my-mac
didi,DoKit,19400,https://github.com/didi/DoKit
GeekyAnts,NativeBase,19200,https://github.com/GeekyAnts/NativeBase
utmapp,UTM,18600,https://github.com/utmapp/UTM
iampawan,FlutterExampleApps,18300,https://github.com/iampawan/FlutterExampleApps
alibaba,weex,18100,https://github.com/alibaba/weex
AvaloniaUI,Avalonia,17400,https://github.com/AvaloniaUI/Avalonia
framework7io,framework7,17100,https://github.com/framework7io/framework7
CodeEditApp,CodeEdit,17100,https://github.com/CodeEditApp/CodeEdit
cocos2d,cocos2d-x,17000,https://github.com/cocos2d/cocos2d-x
flutter,plugins,16800,https://github.com/flutter/plugins
Tencent,ncnn,16800,https://github.com/Tencent/ncnn
