username,repo_name,stars_count,repo_url
jquery,jquery,57300,https://github.com/jquery/jquery
alvarotrigo,fullPage.js,34500,https://github.com/alvarotrigo/fullPage.js
NervJS,taro,32600,https://github.com/NervJS/taro
cheeriojs,cheerio,26200,https://github.com/cheeriojs/cheerio
select2,select2,25600,https://github.com/select2/select2
nhn,tui.editor,15800,https://github.com/nhn/tui.editor
selectize,selectize.js,12900,https://github.com/selectize/selectize.js
pandao,editor.md,12900,https://github.com/pandao/editor.md
PuerkitoBio,goquery,12400,https://github.com/PuerkitoBio/goquery
jessepollak,card,11500,https://github.com/jessepollak/card
jquery,jquery-ui,11100,https://github.com/jquery/jquery-ui
jquery-validation,jquery-validation,10300,https://github.com/jquery-validation/jquery-validation
snapappointments,bootstrap-select,9700,https://github.com/snapappointments/bootstrap-select
fengyuanchen,cropper,7800,https://github.com/fengyuanchen/cropper
fancyapps,fancybox,7300,https://github.com/fancyapps/fancybox
olton,Metro-UI-CSS,7000,https://github.com/olton/Metro-UI-CSS
AllThingsSmitty,must-watch-javascript,6900,https://github.com/AllThingsSmitty/must-watch-javascript
bda-research,node-crawler,6400,https://github.com/bda-research/node-crawler
fabiospampinato,cash,6100,https://github.com/fabiospampinato/cash
givanz,VvvebJs,5500,https://github.com/givanz/VvvebJs
yujiosaka,headless-chrome-crawler,5400,https://github.com/yujiosaka/headless-chrome-crawler
olifolkerd,tabulator,5300,https://github.com/olifolkerd/tabulator
kartik-v,bootstrap-fileinput,5300,https://github.com/kartik-v/bootstrap-fileinput
jquery-form,form,5200,https://github.com/jquery-form/form
bigskysoftware,intercooler-js,4700,https://github.com/bigskysoftware/intercooler-js
yajra,laravel-datatables,4500,https://github.com/yajra/laravel-datatables
benpickles,peity,4200,https://github.com/benpickles/peity
AllThingsSmitty,jquery-tips-everyone-should-know,4200,https://github.com/AllThingsSmitty/jquery-tips-everyone-should-know
alvarotrigo,pagePiling.js,4100,https://github.com/alvarotrigo/pagePiling.js
oblac,jodd,4000,https://github.com/oblac/jodd
rmm5t,jquery-timeago,3800,https://github.com/rmm5t/jquery-timeago
yangzongzhuan,RuoYi,3800,https://github.com/yangzongzhuan/RuoYi
gijsroge,tilt.js,3700,https://github.com/gijsroge/tilt.js
flesler,jquery.scrollTo,3600,https://github.com/flesler/jquery.scrollTo
sciactive,pnotify,3600,https://github.com/sciactive/pnotify
jschr,textillate,3600,https://github.com/jschr/textillate
surveyjs,survey-library,3600,https://github.com/surveyjs/survey-library
xdan,datetimepicker,3500,https://github.com/xdan/datetimepicker
aui,artDialog,3100,https://github.com/aui/artDialog
liabru,jquery-match-height,3100,https://github.com/liabru/jquery-match-height
