username,repo_name,stars_count,repo_url
flutter,flutter,152000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,134000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,94300,https://github.com/nodejs/node
atom,atom,59300,https://github.com/atom/atom
jaywcjlove,awesome-mac,59200,https://github.com/jaywcjlove/awesome-mac
alacritty,alacritty,45800,https://github.com/alacritty/alacritty
vercel,hyper,40600,https://github.com/vercel/hyper
FiloSottile,mkcert,40300,https://github.com/FiloSottile/mkcert
sherlock-project,sherlock,40100,https://github.com/sherlock-project/sherlock
marktext,marktext,39200,https://github.com/marktext/marktext
PowerShell,PowerShell,37700,https://github.com/PowerShell/PowerShell
GitSquared,edex-ui,36800,https://github.com/GitSquared/edex-ui
agalwood,Motrix,36400,https://github.com/agalwood/Motrix
Homebrew,brew,35500,https://github.com/Homebrew/brew
serhii-londar,open-source-mac-os-apps,34800,https://github.com/serhii-londar/open-source-mac-os-apps
nativefier,nativefier,33300,https://github.com/nativefier/nativefier
iina,iina,32900,https://github.com/iina/iina
shadowsocks,ShadowsocksX-NG,31300,https://github.com/shadowsocks/ShadowsocksX-NG
sickcodes,Docker-OSX,29600,https://github.com/sickcodes/Docker-OSX
mathiasbynens,dotfiles,28900,https://github.com/mathiasbynens/dotfiles
lencx,ChatGPT,28600,https://github.com/lencx/ChatGPT
herrbischoff,awesome-macos-command-line,27300,https://github.com/herrbischoff/awesome-macos-command-line
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
SDWebImage,SDWebImage,24500,https://github.com/SDWebImage/SDWebImage
qier222,YesPlayMusic,22600,https://github.com/qier222/YesPlayMusic
withfig,autocomplete,21700,https://github.com/withfig/autocomplete
MonitorControl,MonitorControl,21400,https://github.com/MonitorControl/MonitorControl
onevcat,Kingfisher,21100,https://github.com/onevcat/Kingfisher
MustangYM,WeChatExtension-ForMac,20600,https://github.com/MustangYM/WeChatExtension-ForMac
drduh,macOS-Security-and-Privacy-Guide,20100,https://github.com/drduh/macOS-Security-and-Privacy-Guide
nikitavoloboev,my-mac,19500,https://github.com/nikitavoloboev/my-mac
utmapp,UTM,18600,https://github.com/utmapp/UTM
Swordfish90,cool-retro-term,18500,https://github.com/Swordfish90/cool-retro-term
AvaloniaUI,Avalonia,17400,https://github.com/AvaloniaUI/Avalonia
BoostIO,BoostNote-Legacy,17200,https://github.com/BoostIO/BoostNote-Legacy
CodeEditApp,CodeEdit,17100,https://github.com/CodeEditApp/CodeEdit
hzlzh,Best-App,16400,https://github.com/hzlzh/Best-App
wulkano,Kap,16300,https://github.com/wulkano/Kap
pqrs-org,Karabiner-Elements,16200,https://github.com/pqrs-org/Karabiner-Elements
appium,appium,16100,https://github.com/appium/appium
