username,repo_name,stars_count,repo_url
goldbergyoni,nodebestpractices,87700,https://github.com/goldbergyoni/nodebestpractices
meteor,meteor,43400,https://github.com/meteor/meteor
yarnpkg,yarn,41100,https://github.com/yarnpkg/yarn
oven-sh,bun,40300,https://github.com/oven-sh/bun
lerna,lerna,34400,https://github.com/lerna/lerna
pnpm,pnpm,22800,https://github.com/pnpm/pnpm
verdaccio,verdaccio,14600,https://github.com/verdaccio/verdaccio
renovatebot,renovate,11700,https://github.com/renovatebot/renovate
jaredpalmer,tsdx,10700,https://github.com/jaredpalmer/tsdx
astrit,css.gg,9000,https://github.com/astrit/css.gg
raineorshine,npm-check-updates,8100,https://github.com/raineorshine/npm-check-updates
apify,crawlee,8000,https://github.com/apify/crawlee
miniMAC,magic,8000,https://github.com/miniMAC/magic
sindresorhus,np,7100,https://github.com/sindresorhus/np
npm,cli,7000,https://github.com/npm/cli
voidcosmos,npkill,6900,https://github.com/voidcosmos/npkill
release-it,release-it,6300,https://github.com/release-it/release-it
jaywcjlove,reference,5500,https://github.com/jaywcjlove/reference
mysticatea,npm-run-all,5300,https://github.com/mysticatea/npm-run-all
matteobruni,tsparticles,5200,https://github.com/matteobruni/tsparticles
rustwasm,wasm-pack,5100,https://github.com/rustwasm/wasm-pack
jsdelivr,jsdelivr,4900,https://github.com/jsdelivr/jsdelivr
wclr,yalc,4400,https://github.com/wclr/yalc
sindresorhus,awesome-npm,4200,https://github.com/sindresorhus/awesome-npm
vuejs,eslint-plugin-vue,4000,https://github.com/vuejs/eslint-plugin-vue
honojs,hono,4000,https://github.com/honojs/hono
antfu,ni,3800,https://github.com/antfu/ni
cnpm,cnpmjs.org,3600,https://github.com/cnpm/cnpmjs.org
vercel,release,3500,https://github.com/vercel/release
felixrieseberg,windows-build-tools,3400,https://github.com/felixrieseberg/windows-build-tools
ui-buttons,core,2900,https://github.com/ui-buttons/core
waylaidwanderer,node-chatgpt-api,2800,https://github.com/waylaidwanderer/node-chatgpt-api
feross,thanks,2800,https://github.com/feross/thanks
rammcodes,Dopefolio,2700,https://github.com/rammcodes/Dopefolio
zkat,npx,2600,https://github.com/zkat/npx
sandoche,Darkmode.js,2600,https://github.com/sandoche/Darkmode.js
nas5w,100-days-of-code-frontend,2600,https://github.com/nas5w/100-days-of-code-frontend
felixrieseberg,npm-windows-upgrade,2500,https://github.com/felixrieseberg/npm-windows-upgrade
Pana,nrm,2500,https://github.com/Pana/nrm
hop-protocol,hop,2400,https://github.com/hop-protocol/hop
