username,repo_name,stars_count,repo_url
microsoft,ML-For-Beginners,45700,https://github.com/microsoft/ML-For-Beginners
Avik-Jain,100-Days-Of-ML-Code,40500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
jakevdp,PythonDataScienceHandbook,38000,https://github.com/jakevdp/PythonDataScienceHandbook
apachecn,ailearning,35000,https://github.com/apachecn/ailearning
ageron,handson-ml,25000,https://github.com/ageron/handson-ml
donnemartin,data-science-ipython-notebooks,24800,https://github.com/donnemartin/data-science-ipython-notebooks
onnx,onnx,14400,https://github.com/onnx/onnx
virgili0,Virgilio,13400,https://github.com/virgili0/Virgilio
ml-tooling,best-of-ml-python,13200,https://github.com/ml-tooling/best-of-ml-python
rasbt,python-machine-learning-book,11800,https://github.com/rasbt/python-machine-learning-book
dask,dask,10900,https://github.com/dask/dask
EpistasisLab,tpot,9000,https://github.com/EpistasisLab/tpot
microsoft,onnxruntime,8700,https://github.com/microsoft/onnxruntime
Yorko,mlcourse.ai,8700,https://github.com/Yorko/mlcourse.ai
ljpzzz,machinelearning,7500,https://github.com/ljpzzz/machinelearning
automl,auto-sklearn,6800,https://github.com/automl/auto-sklearn
rasbt,python-machine-learning-book-2nd-edition,6800,https://github.com/rasbt/python-machine-learning-book-2nd-edition
alteryx,featuretools,6600,https://github.com/alteryx/featuretools
sktime,sktime,6300,https://github.com/sktime/sktime
autogluon,autogluon,5500,https://github.com/autogluon/autogluon
interpretml,interpret,5400,https://github.com/interpretml/interpret
skorch-dev,skorch,5100,https://github.com/skorch-dev/skorch
apachecn,sklearn-doc-zh,4800,https://github.com/apachecn/sklearn-doc-zh
PipelineAI,pipeline,4200,https://github.com/PipelineAI/pipeline
biolab,orange3,4000,https://github.com/biolab/orange3
DistrictDataLabs,yellowbrick,4000,https://github.com/DistrictDataLabs/yellowbrick
Nyandwi,machine_learning_complete,3900,https://github.com/Nyandwi/machine_learning_complete
rasbt,python-machine-learning-book-3rd-edition,3900,https://github.com/rasbt/python-machine-learning-book-3rd-edition
justmarkham,scikit-learn-videos,3500,https://github.com/justmarkham/scikit-learn-videos
TarrySingh,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3400,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
microsoft,hummingbird,3100,https://github.com/microsoft/hummingbird
nidhaloff,igel,3000,https://github.com/nidhaloff/igel
ml-tooling,ml-workspace,3000,https://github.com/ml-tooling/ml-workspace
tirthajyoti,Machine-Learning-with-Python,2700,https://github.com/tirthajyoti/Machine-Learning-with-Python
TeamHG-Memex,eli5,2700,https://github.com/TeamHG-Memex/eli5
mars-project,mars,2600,https://github.com/mars-project/mars
scikit-optimize,scikit-optimize,2600,https://github.com/scikit-optimize/scikit-optimize
mljar,mljar-supervised,2500,https://github.com/mljar/mljar-supervised
parrt,dtreeviz,2500,https://github.com/parrt/dtreeviz
BayesWitnesses,m2cgen,2400,https://github.com/BayesWitnesses/m2cgen
